AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample
GCA_011419295.1,Clarias macrocephalus (bighead catfish),Clarias macrocephalus,140,2020/03/18 00:00,Deakin University,47837,80802,SAMN13972449
GCA_902810495.1,Petrochromis trewavasae (threadfin cichlid),Petrochromis trewavasae,80,2020/04/15 00:00,UNIVERSITY OF GRAZ,46763,1826695,SAMEA6604288
GCF_000690725.1,Stegastes partitus (bicolor damselfish),Stegastes partitus,121,2014/05/13 00:00,Aquatic Genome Models,43010,411659,SAMN02743342
GCA_009756435.1,Chionodraco myersi (Myers' icefish),Chionodraco myersi,100,2019/12/16 00:00,University of Padova,42918,48322,SAMN10434302
GCA_009663075.1,Gambusia holbrooki (eastern mosquitofish),Gambusia holbrooki,61.72,2019/11/14 00:00,University of Wuerzburg,42011,54640,SAMN12130783
GCF_004355925.1,Anarrhichthys ocellatus (wolf-eel),Anarrhichthys ocellatus,45,2019/03/08 00:00,Canada's Genomic Enterprise,41757,5717598,SAMN10245424
GCA_013363375.1,Menidia beryllina (inland silverside),Menidia beryllina,56,2020/06/19 00:00,University of California Davis,40093,4493486,SAMN14992539
GCF_001443325.1,Poecilia mexicana (shortfin molly),Poecilia mexicana,30,2015/11/13 00:00,The Genome Institute at Washington University School of Medicine (WUGSC),39840,275316,SAMN02048972
GCF_001891065.1,Hippocampus comes (tiger tail seahorse),Hippocampus comes,192,2016/12/08 00:00,"South China Sea Institute of Oceanology, Chinese Academy of Sciences",39546,2034572,SAMN04531611
GCA_900092035.1,Leuciscus waleckii (Amur ide),Leuciscus waleckii,250,2016/06/28 00:00,CHINESE ACADEMY OF FISHERY SCIENCE,38877,21959719,SAMEA3723233
GCA_006229165.1,Gasterosteus aculeatus (three-spined stickleback),Gasterosteus aculeatus,142,2019/06/11 00:00,Institute of Ecology and Evolution,38090,3715221,SAMN11077409
GCF_002872115.1,Paramormyrops kingsleyae (bony fishes),Paramormyrops kingsleyae,90,2018/01/10 00:00,Michigan State University,37656,1731158,SAMN08000665
GCA_003317085.1,Hucho hucho (huchen),Hucho hucho,120,2018/07/13 00:00,University Of Aberdeen,37639,287338,SAMN09378492
GCF_001970005.1,Paralichthys olivaceus (Japanese flounder),Paralichthys olivaceus,100,2017/01/24 00:00,Tsinghua University,36690,10546925,SAMN05817825
GCA_003731715.1,Anabarilius grahami (bony fishes),Anabarilius grahami,188,2018/11/15 00:00,BGI,36058,4459447,SAMN09469597
GCF_001443285.1,Poecilia latipinna (sailfin molly),Poecilia latipinna,34,2015/11/13 00:00,The Genome Institute at Washington University School of Medicine (WUGSC),33278,279200,SAMN02048973
GCA_902810505.1,Tropheus moorii (blunthead cichlid),Tropheus moorii,40,2020/04/15 00:00,UNIVERSITY OF GRAZ,32181,1635562,SAMEA6604290
GCA_004358465.1,Ophiodon elongatus (bony fishes),Ophiodon elongatus,40,2019/03/08 00:00,Canada's Genomic Enterprise,31240,5092707,SAMN10245457
GCA_011763525.1,Mormyrus iriodes (bony fishes),Mormyrus iriodes,120,2020/03/27 00:00,IRIDIAN GENOMES,31067,38654,SAMN11649522
GCA_014490765.1,Eleutheronema tetradactylum (Indian salmon),Eleutheronema tetradactylum,87.6,2020/09/08 00:00,The Chinese University of Hong Kong,30813,56314,SAMN13011971
GCA_003416845.1,Oplegnathus fasciatus (barred knifejaw),Oplegnathus fasciatus,292,2018/08/22 00:00,National Institute of Fisheries Science,29992,1126915,SAMN07331350
GCA_000499045.2,Anoplopoma fimbria (sablefish),Anoplopoma fimbria,186,2020/10/05 00:00,"NOAA, National Marine Fisheries Service, Northwest Fisheries Science Center",29750,288526,SAMN02144194
GCF_001515645.1,Sinocyclocheilus grahami (bony fishes),Sinocyclocheilus grahami,88,2015/12/16 00:00,"BGI, Shenzhen",29354,1156368,SAMN03320097
GCA_000180735.1,Tetraodon nigroviridis (spotted green pufferfish),Tetraodon nigroviridis,0,2004/05/14 00:00,Genoscope,29054,734039,SAMEA3138311
GCA_008586565.1,Oryzias sinensis (Chinese medaka),Oryzias sinensis,45,2019/09/19 00:00,Peking University,28180,991358,SAMN12084253
GCA_901007775.1,Dunckerocampus dactyliophorus (ringed pipefish),Dunckerocampus dactyliophorus,31,2020/04/15 00:00,CEES,27594,75189,SAMEA5563351
GCA_903131615.1,Diplodus sargus (white seabream),Diplodus sargus,57,2020/06/05 00:00,UMR5175,27464,3406122,SAMEA6813209
GCA_901007915.1,Syngnathus typhle (broad-nosed pipefish),Syngnathus typhle,530,2020/04/15 00:00,CEES,25809,3046963,SAMEA5563360
GCA_003987875.1,Clarias batrachus (walking catfish),Clarias batrachus,84,2018/12/31 00:00,Auburn University,24893,361123,SAMN09480820
GCA_001698575.1,Mola mola (ocean sunfish),Mola mola,96,2016/08/08 00:00,BGI-shenzhen,23239,8766736,SAMN04335856
GCA_015163995.1,Mormyrus lacerda (bony fishes),Mormyrus lacerda,90,2020/11/01 00:00,IRIDIAN GENOMES,23165,13297468,SAMN11976054
GCA_015164015.1,Brevimyrus niger (bony fishes),Brevimyrus niger,120,2020/11/01 00:00,IRIDIAN GENOMES,23012,12376973,SAMN11109190
GCF_000239375.1,Pundamilia nyererei (bony fishes),Pundamilia nyererei,126,2011/12/22 00:00,Broad Institute,22622,2525540,SAMN00149614
GCA_900610375.1,Hypoplectrus puella (barred hamlet),Hypoplectrus puella,245,2018/12/12 00:00,GEOMAR Helmholtz Centre for Ocean Research Kiel,22581,24210077,SAMEA4799755
GCA_903798115.1,Danio jaintianensis (bony fishes),Danio jaintianensis,85,2020/06/16 00:00,SC,22545,18165534,SAMEA104026422
GCF_001952655.1,Monopterus albus (swamp eel),Monopterus albus,146,2017/01/17 00:00,Wuhan University,22239,2106322,SAMN06219872
GCA_006942095.1,Nothobranchius kuhntae (Beira killifish),Nothobranchius kuhntae,78,2019/07/12 00:00,Max Planck Institute for Biology of Ageing,22234,1178460,SAMN11370845
GCF_000239415.1,Haplochromis burtoni (Burton's mouthbrooder),Haplochromis burtoni,131,2011/12/22 00:00,Broad Institute,21886,1194190,SAMN00139641
GCA_903364295.1,Serranus cabrilla (comber),Serranus cabrilla,63,2020/06/05 00:00,UMR5175,21564,610905,SAMEA6813211
GCA_002895965.1,Coryphaenoides rupestris (roundnose grenadier),Coryphaenoides rupestris,50,2018/01/23 00:00,"Molecular Ecology Group, Department of Biosciences, Durham University",20848,159738,SAMN08010939
GCF_000732505.1,Cyprinodon variegatus (sheepshead minnow),Cyprinodon variegatus,81,2015/10/01 00:00,Aquatic Genome Models,20803,835301,SAMN02736898
GCF_000788275.1,Boleophthalmus pectinirostris (great blue-spotted mudskipper),Boleophthalmus pectinirostris,144,2014/12/02 00:00,BGI-shenzhen,20438,2375582,SAMN03201692
GCA_003610055.1,Morone chrysops (white bass),Morone chrysops,51,2018/10/02 00:00,Auburn University,20318,51932,SAMN10103279
GCF_014905685.1,Nematolebias whitei (Rio pearlfish),Nematolebias whitei,53.63,2020/10/22 00:00,Michigan State University,19984,49984095,SAMN12588121
GCA_903798035.1,Danio albolineatus (pearl danio),Danio albolineatus,70,2020/06/16 00:00,SC,18826,4632361,SAMEA104026392
GCF_001515625.1,Sinocyclocheilus rhinocerous (bony fishes),Sinocyclocheilus rhinocerous,48,2015/12/14 00:00,"BGI, Shenzhen",18758,945738,SAMN03320098
GCA_901007705.1,Fistularia tabacaria (cornetfish),Fistularia tabacaria,29,2020/04/15 00:00,CEES,17669,107234,SAMEA5563353
GCA_900303265.1,Brotula barbata (bearded brotula),Brotula barbata,30,2018/03/20 00:00,CEES,17578,45752,SAMEA4028811
GCA_003097735.1,Gambusia affinis (western mosquitofish),Gambusia affinis,54.9,2018/05/08 00:00,University of Georgia,17511,6651460,SAMN07157452
GCF_000735185.1,Notothenia coriiceps (black rockcod),Notothenia coriiceps,38,2014/07/29 00:00,Antarctic Fish Genome Project,17487,217655,SAMN02206445
GCF_001515605.1,Sinocyclocheilus anshuiensis (bony fishes),Sinocyclocheilus anshuiensis,60,2015/12/14 00:00,"BGI, Shenzhen",17271,1284143,SAMN03320099
GCF_004916995.1,Morone saxatilis (striped sea-bass),Morone saxatilis,24417.7,2019/04/26 00:00,North Carolina State University,17211,25942274,SAMN11399929
GCA_900302695.1,Helostoma temminkii (kissing gourami),Helostoma temminkii,16,2018/03/19 00:00,CEES,17055,71786,SAMEA4028825
GCA_000787095.1,Periophthalmodon schlosseri (giant mudskipper),Periophthalmodon schlosseri,65,2014/12/02 00:00,BGI-Shenzhen,16946,39308,SAMN03201695
GCA_900302625.1,Thunnus albacares (yellowfin tuna),Thunnus albacares,18,2018/03/21 00:00,CEES,16808,46920,SAMEA4028815
GCA_903798205.1,Danio tinwini (gold ring danio),Danio tinwini,72,2020/06/16 00:00,SC,16685,13583820,SAMEA104026413
GCA_004335335.1,Sebastes koreanus (bony fishes),Sebastes koreanus,49,2019/03/08 00:00,Zhejiang Ocean University,16662,16662,SAMN10490951
GCA_901111315.1,Anguilla marmorata (giant mottled eel),Anguilla marmorata,30,2020/02/10 00:00,CEES,16529,64942,SAMEA5568835
GCF_002109545.1,Acanthochromis polyacanthus (spiny chromis),Acanthochromis polyacanthus,70,2017/04/25 00:00,King Abdullah University of Science and technology,16099,334400,SAMN06347167
GCA_901007665.1,Aeoliscus strigatus (razorfish),Aeoliscus strigatus,58,2020/04/15 00:00,CEES,15935,115785,SAMEA5563349
GCA_015708405.1,Sarotherodon lohbergeri (keppi),Sarotherodon lohbergeri,10,2020/12/01 00:00,"""CICHLID~X""",15058,40148,SAMN12124122
GCA_901007895.1,Syngnathus rostellatus (Nilsson's pipefish),Syngnathus rostellatus,55,2020/04/15 00:00,CEES,14947,87573,SAMEA5563359
GCA_901111305.1,Anguilla megastoma (Polynesian longfinned eel),Anguilla megastoma,30,2020/02/10 00:00,CEES,14572,61910,SAMEA5568836
GCA_014825785.1,Odontesthes bonariensis (pejerrey),Odontesthes bonariensis,40,2020/09/30 00:00,George Washington University,14340,60945,SAMN09607192
GCA_903798125.1,Danio choprai (bony fishes),Danio choprai,57,2020/06/16 00:00,SC,13929,5707536,SAMEA104026429
GCA_014706435.1,Silurus glanis (European catfish),Silurus glanis,60,2020/09/23 00:00,University of Turku,13869,3169562,SAMN14055911
GCA_015052225.1,Oreochromis tanganicae (bony fishes),Oreochromis tanganicae,21.65,2020/10/28 00:00,"""CICHLID~X""",13689,29954,SAMN12123811
GCA_000475215.1,Sebastes rubrivinctus (flag rockfish),Sebastes rubrivinctus,87,2013/10/22 00:00,University of Southern California,13541,30046,SAMN02981552
GCA_000475235.3,Sebastes nigrocinctus (tiger rockfish),Sebastes nigrocinctus,94,2016/12/20 00:00,USC,13471,116274,SAMN02981553
GCA_901007825.1,Macroramphosus scolopax (longspine snipefish),Macroramphosus scolopax,36,2020/04/15 00:00,CEES,13365,41786,SAMEA5563356
GCA_015107895.1,Eretmodus cyanostictus (Tanganyika clown),Eretmodus cyanostictus,12.78,2020/10/29 00:00,"""CICHLID~X""",13348,24150,SAMN12123806
GCA_015106675.1,Pelmatolapia mariae (spotted tilapia),Pelmatolapia mariae,20.62,2020/10/29 00:00,"""CICHLID~X""",13274,27743,SAMN12123906
GCF_000239395.1,Neolamprologus brichardi (lyretail cichlid),Neolamprologus brichardi,171,2011/12/22 00:00,Broad Institute,13047,4430025,SAMN00139653
GCA_015108415.1,Tilapia sparmanii (bony fishes),Tilapia sparmanii,22.96,2020/10/29 00:00,"""CICHLID~X""",12811,28898,SAMN12123911
GCA_015108515.1,Hemichromis elongatus (bony fishes),Hemichromis elongatus,23.07,2020/10/29 00:00,"""CICHLID~X""",12746,37082,SAMN12123904
GCA_901111295.1,Anguilla obscura (Pacific shortfinned eel),Anguilla obscura,30,2020/02/10 00:00,CEES,12681,54849,SAMEA5568837
GCF_000225785.1,Latimeria chalumnae (coelacanth),Latimeria chalumnae,77.5,2011/09/12 00:00,Broad Institute,12671,924513,SAMN00138723
GCA_015106755.1,Etia nguti (bony fishes),Etia nguti,17.7,2020/10/29 00:00,"""CICHLID~X""",12660,33462,SAMN12123890
GCA_015104515.1,Limnochromis staneri (bony fishes),Limnochromis staneri,21.16,2020/10/29 00:00,"""CICHLID~X""",12577,25573,SAMN12123743
GCA_015110455.1,Eretmodus marksmithi (bony fishes),Eretmodus marksmithi,12.93,2020/10/29 00:00,"""CICHLID~X""",12535,24325,SAMN12123938
GCA_015108655.1,Paracyprichromis sp. 'tembwe' AB-2019 (bony fishes),Paracyprichromis sp. 'tembwe' AB-2019,23.42,2020/10/29 00:00,"""CICHLID~X""",12518,23822,SAMN12123888
GCA_015105255.1,Haplotaxodon microlepis (bony fishes),Haplotaxodon microlepis,16.93,2020/10/29 00:00,"""CICHLID~X""",12456,25202,SAMN12123706
GCA_015106575.1,Tropheus annectens (bony fishes),Tropheus annectens,19.47,2020/10/29 00:00,"""CICHLID~X""",12422,23944,SAMN12123917
GCA_015052705.1,Tropheus sp. 'black' (bony fishes),Tropheus sp. 'black',13.45,2020/10/28 00:00,"""CICHLID~X""",12405,24299,SAMN12123868
GCA_015108555.1,Coptodon rendalli (redbreast tilapia),Coptodon rendalli,21.35,2020/10/29 00:00,"""CICHLID~X""",12324,29581,SAMN12123901
GCA_015106075.1,Perissodus multidentatus (bony fishes),Perissodus multidentatus,17.44,2020/10/29 00:00,"""CICHLID~X""",12300,25951,SAMN12123798
GCA_015110135.1,Spathodus marlieri (bony fishes),Spathodus marlieri,13.08,2020/10/29 00:00,"""CICHLID~X""",12237,23529,SAMN12123955
GCA_015105735.1,Plecodus straeleni (bony fishes),Plecodus straeleni,19.39,2020/10/29 00:00,"""CICHLID~X""",12200,24685,SAMN12123679
GCA_900323345.1,Pseudochromis fuscus (brown dottyback),Pseudochromis fuscus,19,2018/03/26 00:00,CEES,12029,24689,SAMEA4028829
GCA_015107015.1,Pseudosimochromis babaulti (bony fishes),Pseudosimochromis babaulti,16.34,2020/10/29 00:00,"""CICHLID~X""",11917,24524,SAMN12123859
GCA_015107505.1,Grammatotria lemairii (bony fishes),Grammatotria lemairii,16.52,2020/10/29 00:00,"""CICHLID~X""",11878,24241,SAMN12123833
GCA_008269305.1,Oreochromis spilurus (bony fishes),Oreochromis spilurus,50,2019/09/03 00:00,King Abdulaziz University,11851,11851,SAMN12169131
GCA_015106255.1,Greenwoodochromis bellcrossi (bony fishes),Greenwoodochromis bellcrossi,13.4,2020/10/29 00:00,"""CICHLID~X""",11849,26743,SAMN12123782
GCA_015109715.1,Cyphotilapia sp. '5-bar frontosa' AB-2019 (bony fishes),Cyphotilapia sp. '5-bar frontosa' AB-2019,12.86,2020/10/29 00:00,"""CICHLID~X""",11820,27013,SAMN12123974
GCA_015110415.1,Petrochromis orthognathus (bony fishes),Petrochromis orthognathus,8.64,2020/10/29 00:00,"""CICHLID~X""",11755,23555,SAMN12123943
GCA_015052565.1,Pseudosimochromis marginatus (bony fishes),Pseudosimochromis marginatus,12.6,2020/10/28 00:00,"""CICHLID~X""",11713,24859,SAMN12123978
GCA_015102415.1,Tilapia brevimanus (bony fishes),Tilapia brevimanus,20.03,2020/10/29 00:00,"""CICHLID~X""",11674,25843,SAMN12123913
GCA_900302685.1,Spondyliosoma cantharus (black seabream),Spondyliosoma cantharus,17,2018/03/21 00:00,CEES,11633,28198,SAMEA4028822
GCA_015106695.1,Serranochromis macrocephalus (bony fishes),Serranochromis macrocephalus,25.42,2020/10/29 00:00,"""CICHLID~X""",11620,20245,SAMN12123909
GCA_015107555.1,Boulengerochromis microlepis (giant cichlid),Boulengerochromis microlepis,10.69,2020/10/29 00:00,"""CICHLID~X""",11600,26382,SAMN12123832
GCA_015109335.1,Cyprichromis sp. 'dwarf jumbo' AB-2019 (bony fishes),Cyprichromis sp. 'dwarf jumbo' AB-2019,17.34,2020/10/29 00:00,"""CICHLID~X""",11455,25762,SAMN12123998
GCA_015052685.1,Julidochromis sp. 'unterfels' AB-2019 (bony fishes),Julidochromis sp. 'unterfels' AB-2019,21.8,2020/10/28 00:00,"""CICHLID~X""",11439,20303,SAMN12123878
GCA_015107955.1,Perissodus eccentricus (bony fishes),Perissodus eccentricus,9.07,2020/10/29 00:00,"""CICHLID~X""",11305,25001,SAMN12123800
GCA_004335365.1,Sebastes nudus (ogon-murasoi),Sebastes nudus,46,2019/03/08 00:00,Zhejiang Ocean University,11290,11290,SAMN10490952
GCA_900303245.1,Selene dorsalis (African moonfish),Selene dorsalis,24,2018/03/19 00:00,CEES,11209,32464,SAMEA4028824
GCA_015108955.1,Neolamprologus furcifer (bony fishes),Neolamprologus furcifer,13.03,2020/10/29 00:00,"""CICHLID~X""",11113,21254,SAMN12123856
GCA_015107215.1,Cyprichromis coloratus (bony fishes),Cyprichromis coloratus,10.08,2020/10/29 00:00,"""CICHLID~X""",11088,23397,SAMN12123848
GCA_010014945.1,Syngnathus floridae (dusky pipefish),Syngnathus floridae,2019,2020/01/30 00:00,IRIDIAN GENOMES,11028,1379020,SAMN09688109
GCA_003597225.1,Anguilla japonica (Japanese eel),Anguilla japonica,211,2018/09/14 00:00,National Research Institute of Fisheries Science,11014,36264158,SAMD00098195
GCA_015109375.1,Neolamprologus longior (bony fishes),Neolamprologus longior,17.5,2020/10/29 00:00,"""CICHLID~X""",11003,22364,SAMN12123997
GCA_002592385.1,Micropterus floridanus (Florida bass),Micropterus floridanus,80,2017/10/19 00:00,Auburn University,10978,10978,SAMN07502010
GCA_015110155.1,Tanganicodus irsacae (spotfin goby cichlid),Tanganicodus irsacae,12.82,2020/10/29 00:00,"""CICHLID~X""",10933,20959,SAMN12123950
GCA_015112515.1,Petrochromis sp. 'polyodon texas' AB-2019 (bony fishes),Petrochromis sp. 'polyodon texas' AB-2019,12.74,2020/10/29 00:00,"""CICHLID~X""",10914,24026,SAMN12124098
GCA_015105495.1,Lepidiolamprologus cunningtoni (bony fishes),Lepidiolamprologus cunningtoni,18.87,2020/10/29 00:00,"""CICHLID~X""",10910,19109,SAMN12123693
GCA_015108695.1,Neolamprologus variostigma (bony fishes),Neolamprologus variostigma,22.44,2020/10/29 00:00,"""CICHLID~X""",10891,19942,SAMN12123882
GCA_015102225.1,Variabilichromis moorii (bony fishes),Variabilichromis moorii,11.63,2020/10/29 00:00,"""CICHLID~X""",10882,20963,SAMN12123588
GCA_001910805.2,Sebastes aleutianus (rougheye rockfish),Sebastes aleutianus,78,2016/12/20 00:00,USC,10838,340062,SAMN03964772
GCA_015106635.1,Sargochromis carlottae (bony fishes),Sargochromis carlottae,19.63,2020/10/29 00:00,"""CICHLID~X""",10750,18930,SAMN12123908
GCA_015105695.1,Cyprichromis sp. 'jumbo' AB-2019 (bony fishes),Cyprichromis sp. 'jumbo' AB-2019,12.24,2020/10/29 00:00,"""CICHLID~X""",10655,23285,SAMN12123683
GCA_015106615.1,Thoracochromis brauschi (bony fishes),Thoracochromis brauschi,21.43,2020/10/29 00:00,"""CICHLID~X""",10651,19521,SAMN12123912
GCA_015108395.1,Neolamprologus helianthus (bony fishes),Neolamprologus helianthus,14.15,2020/10/29 00:00,"""CICHLID~X""",10620,21295,SAMN12123920
GCA_015109315.1,Tropheus sp. 'lukuga' AB-2019 (bony fishes),Tropheus sp. 'lukuga' AB-2019,16.24,2020/10/29 00:00,"""CICHLID~X""",10585,25807,SAMN12123995
GCA_015103275.1,Paracyprichromis nigripinnis (bony fishes),Paracyprichromis nigripinnis,9.5,2020/10/29 00:00,"""CICHLID~X""",10563,20832,SAMN12123636
GCA_015111015.1,Tropheus polli (bony fishes),Tropheus polli,16.33,2020/10/29 00:00,"""CICHLID~X""",10521,25241,SAMN12124064
GCA_015106775.1,Etroplus canarensis (bony fishes),Etroplus canarensis,19.01,2020/10/29 00:00,"""CICHLID~X""",10520,18345,SAMN12123891
GCA_901007745.1,Hippocampus kuda (spotted seahorse),Hippocampus kuda,39,2020/04/15 00:00,CEES,10411,31191,SAMEA5563355
GCA_015108175.1,Pelvicachromis taeniatus (bony fishes),Pelvicachromis taeniatus,9.51,2020/10/29 00:00,"""CICHLID~X""",10380,26672,SAMN12123930
GCA_015110075.1,Neolamprologus toae (bony fishes),Neolamprologus toae,11.45,2020/10/29 00:00,"""CICHLID~X""",10380,21118,SAMN12123957
GCA_015708585.1,Sarotherodon steinbachi (kululu),Sarotherodon steinbachi,10,2020/12/01 00:00,"""CICHLID~X""",10360,34697,SAMN13929961
GCA_015106655.1,Coptodon bakossiorum (bony fishes),Coptodon bakossiorum,11.63,2020/10/29 00:00,"""CICHLID~X""",10351,29145,SAMN12123900
GCA_015108675.1,Telmatochromis sp. 'longola' AB-2019 (bony fishes),Telmatochromis sp. 'longola' AB-2019,17.51,2020/10/29 00:00,"""CICHLID~X""",10339,22215,SAMN12123887
GCA_901007805.1,Hippocampus whitei (White's seahorse),Hippocampus whitei,40,2020/04/15 00:00,CEES,10333,40759,SAMEA5563354
GCA_015105975.1,Xenotilapia flavipinnis (yellow sand cichlid),Xenotilapia flavipinnis,21.45,2020/10/29 00:00,"""CICHLID~X""",10331,18043,SAMN12123818
GCA_015108275.1,Neolamprologus gracilis (bony fishes),Neolamprologus gracilis,18.26,2020/10/29 00:00,"""CICHLID~X""",10314,21865,SAMN12123922
GCA_015109735.1,Neolamprologus ventralis (bony fishes),Neolamprologus ventralis,22.03,2020/10/29 00:00,"""CICHLID~X""",10294,19909,SAMN12123976
GCA_015107935.1,Greenwoodochromis christyi (bony fishes),Greenwoodochromis christyi,13.02,2020/10/29 00:00,"""CICHLID~X""",10262,23650,SAMN12123804
GCA_015052445.1,Cyprichromis zonatus (bony fishes),Cyprichromis zonatus,12.38,2020/10/28 00:00,"""CICHLID~X""",10175,23055,SAMN12123638
GCA_015052425.1,Pseudosimochromis curvifrons (bony fishes),Pseudosimochromis curvifrons,12.7,2020/10/28 00:00,"""CICHLID~X""",10150,18115,SAMN12123616
GCA_015106095.1,Xenotilapia nigrolabiata (bony fishes),Xenotilapia nigrolabiata,20.36,2020/10/29 00:00,"""CICHLID~X""",10130,18982,SAMN12123789
GCA_015103235.1,Neolamprologus cylindricus (bony fishes),Neolamprologus cylindricus,12.28,2020/10/29 00:00,"""CICHLID~X""",10117,19794,SAMN12123643
GCA_015103075.1,Orthochromis indermauri (bony fishes),Orthochromis indermauri,21.79,2020/10/29 00:00,"""CICHLID~X""",10058,16915,SAMN12123648
GCA_015105295.1,Neolamprologus caudopunctatus (bony fishes),Neolamprologus caudopunctatus,9.77,2020/10/29 00:00,"""CICHLID~X""",10045,18363,SAMN12123703
GCA_015052305.1,Hemibates koningsi (bony fishes),Hemibates koningsi,17.67,2020/10/28 00:00,"""CICHLID~X""",10032,19550,SAMN12123797
GCA_015107655.1,Xenochromis hecqui (bony fishes),Xenochromis hecqui,11.71,2020/10/29 00:00,"""CICHLID~X""",10032,22631,SAMN12123822
GCA_015102695.1,Lepidiolamprologus kendalli (bony fishes),Lepidiolamprologus kendalli,9.62,2020/10/29 00:00,"""CICHLID~X""",10025,18334,SAMN12123669
GCA_015105335.1,Neolamprologus tetracanthus (bony fishes),Neolamprologus tetracanthus,13.22,2020/10/29 00:00,"""CICHLID~X""",10025,18997,SAMN12123701
GCA_015109775.1,Xenotilapia longispinis (bony fishes),Xenotilapia longispinis,12.74,2020/10/29 00:00,"""CICHLID~X""",9971,19045,SAMN12123973
GCA_015108895.1,Spathodus erythrodon (bony fishes),Spathodus erythrodon,8.95,2020/10/29 00:00,"""CICHLID~X""",9945,18980,SAMN12123860
GCA_006348945.1,Liparis tanakae (Tanaka's snailfish),Liparis tanakae,372,2019/06/14 00:00,Seoul National University,9903,375216,SAMN10970109
GCA_015109655.1,Neolamprologus sp. 'brevis magara' AB-2019 (bony fishes),Neolamprologus sp. 'brevis magara' AB-2019,9.23,2020/10/29 00:00,"""CICHLID~X""",9858,19635,SAMN12123982
GCA_015113095.1,Tangachromis dhanisi (bony fishes),Tangachromis dhanisi,17.51,2020/10/29 00:00,"""CICHLID~X""",9827,22037,SAMN12124111
GCA_900302555.1,Myripristis jacobus (blackbar soldierfish),Myripristis jacobus,20,2018/03/21 00:00,CEES,9816,21306,SAMEA4028805
GCA_015108065.1,Julidochromis marlieri (bony fishes),Julidochromis marlieri,11.21,2020/10/29 00:00,"""CICHLID~X""",9810,20085,SAMN12123934
GCA_015052545.1,Neolamprologus devosi (bony fishes),Neolamprologus devosi,13,2020/10/28 00:00,"""CICHLID~X""",9800,18683,SAMN12124066
GCA_015110375.1,Lamprologus kungweensis (bony fishes),Lamprologus kungweensis,17.59,2020/10/29 00:00,"""CICHLID~X""",9784,19884,SAMN12123940
GCA_015110275.1,Ophthalmotilapia sp. 'paranasuta' AB-2019 (bony fishes),Ophthalmotilapia sp. 'paranasuta' AB-2019,13.1,2020/10/29 00:00,"""CICHLID~X""",9756,18314,SAMN12123948
GCA_015104995.1,Ectodus descampsii (Descamp's strange-tooth cichlid),Ectodus descampsii,12.71,2020/10/29 00:00,"""CICHLID~X""",9729,18895,SAMN12123719
GCA_015107735.1,Baileychromis centropomoides (bony fishes),Baileychromis centropomoides,14.27,2020/10/29 00:00,"""CICHLID~X""",9726,21430,SAMN12123816
GCA_015103095.1,Haplochromis sp. Chipwa (bony fishes),Haplochromis sp. Chipwa,11.82,2020/10/29 00:00,"""CICHLID~X""",9716,21953,SAMN12123647
GCA_015102555.1,Neolamprologus modestus (bony fishes),Neolamprologus modestus,12.23,2020/10/29 00:00,"""CICHLID~X""",9657,19402,SAMN12123674
GCA_015108475.1,Pharyngochromis acuticeps (bony fishes),Pharyngochromis acuticeps,21.15,2020/10/29 00:00,"""CICHLID~X""",9655,19351,SAMN12123907
GCA_015112475.1,Telmatochromis sp. 'dhonti twiyu' AB-2019 (bony fishes),Telmatochromis sp. 'dhonti twiyu' AB-2019,8.59,2020/10/29 00:00,"""CICHLID~X""",9625,20533,SAMN12124099
GCA_015105015.1,Julidochromis dickfeldi (bony fishes),Julidochromis dickfeldi,12.68,2020/10/29 00:00,"""CICHLID~X""",9606,19482,SAMN12123717
GCA_015109975.1,Neolamprologus pleuromaculatus (bony fishes),Neolamprologus pleuromaculatus,9.45,2020/10/29 00:00,"""CICHLID~X""",9599,18984,SAMN12123963
GCA_015105655.1,Cyphotilapia gibberosa (bony fishes),Cyphotilapia gibberosa,12.68,2020/10/29 00:00,"""CICHLID~X""",9597,23755,SAMN12123684
GCA_015105935.1,Xenotilapia rotundiventralis (bony fishes),Xenotilapia rotundiventralis,9,2020/10/29 00:00,"""CICHLID~X""",9596,15573,SAMN12123826
GCA_900312935.1,Carapus acus (pearlfish),Carapus acus,30,2018/03/18 00:00,CEES,9554,16922,SAMEA4028813
GCA_015109795.1,Cardiopharynx schoutedeni (bony fishes),Cardiopharynx schoutedeni,17.95,2020/10/29 00:00,"""CICHLID~X""",9487,17018,SAMN12123969
GCA_015106735.1,Paratilapia polleni (Pollen's cichlid),Paratilapia polleni,23.12,2020/10/29 00:00,"""CICHLID~X""",9481,21263,SAMN12123892
GCA_900302655.1,Sebastes norvegicus (golden redfish),Sebastes norvegicus,20,2018/03/21 00:00,CEES,9467,16564,SAMEA4028819
GCA_015106495.1,Petrochromis horii (bony fishes),Petrochromis horii,12.38,2020/10/29 00:00,"""CICHLID~X""",9451,21783,SAMN12123771
GCA_015111075.1,Benthochromis sp. 'horii mahale' AB-2019 (bony fishes),Benthochromis sp. 'horii mahale' AB-2019,16.49,2020/10/29 00:00,"""CICHLID~X""",9441,24119,SAMN12124063
GCA_015108155.1,Neolamprologus longicaudatus (bony fishes),Neolamprologus longicaudatus,13.65,2020/10/29 00:00,"""CICHLID~X""",9440,21263,SAMN12123929
