AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample 
GCA_000751575.1,Capreolus capreolus (Western roe deer),Capreolus capreolus,24,2014/09/09 00:00,UNIMELB,4167,10458,SAMEA2531521
GCA_004027915.1,Capromys pilorides (Desmarest's hutia),Capromys pilorides,26.1,2019/01/16 00:00,Broad Institute,4080,4081,SAMN07678066
GCA_002335545.1,Apodemus speciosus (large Japanese field mouse),Apodemus speciosus,65,2017/09/12 00:00,University of the Ryukyus,4003,49031,SAMD00084465
GCA_004365215.1,Cuniculus paca (Lowland paca),Cuniculus paca,23.4,2019/03/22 00:00,Broad Institute,3890,3892,SAMN07678075
GCA_006461725.1,Moschus chrysogaster (alpine musk deer),Moschus chrysogaster,310,2019/06/25 00:00,Northwestern Polytechnical University,3769,100428,SAMN08714478
GCA_900006375.2,Gulo gulo (wolverine),Gulo gulo,75,2018/12/06 00:00,Uppsala University,3657,178272,SAMEA3522159
GCA_004364475.1,Ziphius cavirostris (Cuvier's beaked whale),Ziphius cavirostris,30.6,2019/03/22 00:00,Broad Institute,3606,3608,SAMN07678128
GCA_000181375.1,Tupaia belangeri (northern tree shrew),Tupaia belangeri,0,2006/06/08 00:00,Broad Institute,2974,2974,SAMN03004381
GCA_004365275.1,Tupaia tana (large tree shrew),Tupaia tana,25,2019/03/22 00:00,Broad Institute,2971,2973,SAMN07678117
GCA_003071005.2,Phocoena phocoena (harbor porpoise),Phocoena phocoena,87.2,2020/11/10 00:00,University of Potsdam,2838,28296388,SAMN08000480
GCA_000004035.1,Macropus eugenii (tammar wallaby),Notamacropus eugenii,2,2009/11/06 00:00,Tammar Wallaby Genome Sequencing Consortium,2602,36602,
GCA_001707965.1,Phodopus sungorus (rodents),Phodopus sungorus,37,2016/08/18 00:00,University of Chicago,2392,2392,SAMN05191964
GCA_006410755.1,Tragelaphus eurycerus (bongo),Tragelaphus eurycerus,112,2019/06/24 00:00,Northwestern Polytechnical University,1974,12574,SAMN08714502
GCA_004027775.1,Bradypus variegatus (Brown-throated sloth),Bradypus variegatus,57.9,2019/01/16 00:00,Broad Institute,1900,1900,SAMN07678054
GCA_004027955.1,Chaetophractus vellerosus (Screaming hairy armadillo),Chaetophractus vellerosus,22.9,2019/01/16 00:00,Broad Institute,1606,1606,SAMN07678071
GCA_013391785.1,Hydrodamalis gigas (Steller's sea cow),Hydrodamalis gigas,11,2020/07/08 00:00,National Research Center Kurchatov Institute,1345,1430,SAMN15314634
GCA_006411685.1,Tragelaphus buxtoni (mountain nyala),Tragelaphus buxtoni,112,2019/06/24 00:00,Northwestern Polytechnical University,1286,7367,SAMN08714501
GCA_006416875.1,Tragelaphus oryx (eland),Tragelaphus oryx,97,2019/06/24 00:00,Northwestern Polytechnical University,1262,1262,SAMN08714500
GCA_006417275.1,Ourebia ourebi (oribi),Ourebia ourebi,113,2019/06/24 00:00,Northwestern Polytechnical University,1259,1259,SAMN08714494
GCA_001305905.1,Apodemus sylvaticus (European woodmouse),Apodemus sylvaticus,17,2015/10/02 00:00,University of Liverpool,1208,245982,SAMN03863808
GCA_000688575.1,Cavia aperea (Brazilian guinea pig),Cavia aperea,333,2014/01/21 00:00,Leibniz Institute for Zoo and Wildlife research,1039,27928671,SAMN02252454
GCA_006408545.1,Alcelaphus buselaphus (hartebeest),Alcelaphus buselaphus,161,2019/06/24 00:00,Northwestern Polytechnical University,889,12034,SAMN08714483
GCA_007922845.1,Canis lupus (gray wolf),Canis lupus,28,2019/08/08 00:00,The University of Melbourne,842,64175042,SAMN03366711
GCA_007646695.1,Thylacinus cynocephalus (Tasmanian wolf),Thylacinus cynocephalus,42.8,2019/07/30 00:00,The University of Melbourne,461,1923833,SAMN06049672
GCA_009493645.1,Bos grunniens x Bos taurus (dzo),Bos grunniens x Bos taurus,60,2019/11/04 00:00,University of Nebraska - Lincoln,72336424,104384344,SAMN12153487
GCA_009914755.1,Homo sapiens (human),Homo sapiens,50,2020/01/22 00:00,T2T Consortium,71707030,90050182,SAMN03255769
GCA_006511355.1,Sus scrofa scrofa (pig),Sus scrofa,20.61,2019/07/03 00:00,University of Messina,52150866,138999934,SAMN08035066
GCA_015443085.1,Capra hircus (goat),Capra hircus,117,2020/11/13 00:00,Northwest A&F University,46208332,102383509,SAMN14408556
GCA_003254725.2,Canis lupus dingo (dingo),Canis lupus,60,2020/09/11 00:00,James Cook University,40716615,64250934,SAMN09397198
GCA_013276365.1,Canis lupus familiaris (dog),Canis lupus,112.2,2020/06/04 00:00,University of New South Wales,37759230,64291023,SAMN14380863
GCA_003369685.2,Bos indicus x Bos taurus (hybrid cattle),Bos indicus x Bos taurus,136,2018/11/30 00:00,University of Adelaide,37061043,102763607,SAMN08473802
GCA_011064465.1,Homo sapiens (human),Homo sapiens,123,2020/03/04 00:00,Johns Hopkins University,34306965,145105607,SAMN03283347
GCA_002180035.3,Homo sapiens (human),Homo sapiens,80,2018/05/22 00:00,The Genome Institute at Washington University School of Medicine,29396877,89384495,SAMN04229552
GCA_015227675.1,Rattus norvegicus (Norway rat),Rattus norvegicus,92,2020/11/04 00:00,Wellcome Sanger Institute,29198295,135012528,SAMN16261960
GCA_001524155.4,Homo sapiens (human),Homo sapiens,73,2017/07/19 00:00,The Genome Institute at Washington University School of Medicine,29140631,89467683,SAMN03838746
GCA_003634875.1,Homo sapiens (human),Homo sapiens,75,2018/10/19 00:00,Pacific Biosciences,26292878,152514555,SAMN10182268
GCA_016077325.1,Equus asinus (ass),Equus asinus,211,2020/12/11 00:00,"Dairy Cattle Research Center, Shandong Academy of Agricultural Sciences",25075547,98598843,SAMN08939908
GCA_014905855.1,Homo sapiens (human),Homo sapiens,1167,2020/09/26 00:00,Tohoku University Advanced Research Institute for Innovations in Next-Generation Medicine,23601496,141953703,SAMD00243993
GCA_011100615.1,Macaca fascicularis (crab-eating macaque),Macaca fascicularis,53.648,2020/03/10 00:00,Baylor College of Medicine Human Genome Sequencing Center,21344639,150377965,SAMN14146612
GCA_008641055.3,Canis lupus familiaris (dog),Canis lupus,30,2020/04/14 00:00,James Cook University,20914347,64346267,SAMN12574852
GCA_002077035.3,Homo sapiens (human),Homo sapiens,75,2018/02/09 00:00,The Genome Institute at Washington University School of Medicine,16821028,89003101,SAMN05181962
GCA_011100685.1,Canis lupus familiaris (dog),Canis lupus,100,2020/03/10 00:00,Uppsala University,14840767,64299765,SAMN13230619
GCA_011100535.1,Callithrix jacchus (white-tufted-ear marmoset),Callithrix jacchus,63.44,2020/03/10 00:00,Vertebrate Genomes Project,14650776,136971485,SAMN12368443
GCA_011100555.1,Callithrix jacchus (white-tufted-ear marmoset),Callithrix jacchus,63.44,2020/03/10 00:00,Vertebrate Genomes Project,13255626,136971485,SAMN12368443
GCA_014441545.1,Canis lupus familiaris (dog),Canis lupus,56.5,2020/09/02 00:00,The Roslin Institute,12024593,64037277,SAMN14478636
GCA_900006655.3,Gorilla gorilla gorilla (western lowland gorilla),Gorilla gorilla,75,2016/12/22 00:00,UNIVERSITY OF WASHINGTON,9406846,20634945,SAMEA3541598
GCA_011170295.1,Ovis aries (sheep),Ovis aries,175,2020/03/11 00:00,Northwest A&F University,8699377,103700880,SAMN13678651
GCA_011078405.1,Callithrix jacchus (white-tufted-ear marmoset),Callithrix jacchus,63.44,2020/03/10 00:00,Vertebrate Genomes Project,8609028,146897247,SAMN12368443
GCA_008058575.1,Macaca mulatta (Rhesus monkey),Macaca mulatta,100,2019/08/22 00:00,"Kunming Institute of Zoology, Chinese Academy of Sciences",8187455,148403059,SAMN10721089
GCA_002844635.1,Sus scrofa (pig),Sus scrofa,65,2017/12/20 00:00,USDA ARS,6372407,131458098,SAMN07325927
GCA_015476435.1,Homo sapiens (human),Homo sapiens,100,2020/11/15 00:00,Frasergen Bioinformatics Inc,5215207,141840420,SAMN14638796
GCA_005444595.1,Canis lupus familiaris (dog),Canis lupus,50,2019/05/30 00:00,University of Michigan,4722218,64204256,SAMN04851098
GCA_015776825.1,Sus scrofa (pig),Sus scrofa,110,2020/12/07 00:00,China Agricultural University,4265198,137575542,SAMN15501053
GCA_004886185.2,Canis lupus familiaris (dog),Canis lupus,45,2019/08/16 00:00,University of Missouri,3131423,61087166,SAMN10749847
GCF_003668045.3,Cricetulus griseus (Chinese hamster),Cricetulus griseus,31,2020/06/11 00:00,CHO Genome Community,2711962,274391693,SAMN07140313
GCA_013371645.1,Oryctolagus cuniculus cuniculus (rabbit),Oryctolagus cuniculus,40,2020/06/22 00:00,Uppsala University,1879078,140390130,SAMN15208106
GCA_007644095.1,Sus scrofa (pig),Sus scrofa,361,2019/08/01 00:00,Novogene,1009524,140438739,SAMN09531794
GCF_000001515.7,Pan troglodytes (chimpanzee),Pan troglodytes,0,2016/05/03 00:00,Chimpanzee Sequencing and Analysis Consortium,384816,26972556,SAMN02981217
GCA_001292825.2,Homo sapiens (human),Homo sapiens,165,2015/11/12 00:00,Baylor College of Medicine,373039,74315606,SAMN00009513
GCF_000003205.7,Bos taurus (cattle),Bos taurus,19,2015/11/19 00:00,Cattle Genome Sequencing International Consortium,276285,6806220,SAMN02898106
GCF_000298735.2,Ovis aries (sheep),Ovis aries,166,2015/11/20 00:00,International Sheep Genome Consortium,150472,100009711,SAMN00116405
GCF_000264685.3,Papio anubis (olive baboon),Papio anubis,104,2017/04/20 00:00,Human Genome Sequencing Center,149817,585721,SAMN02981400
GCF_000306695.2,Homo sapiens (human),Homo sapiens,38,2013/06/14 00:00,Washington University School of Medicine,143936,50362920,SAMN02205338
GCF_000002305.2,Equus caballus (horse),Equus caballus,0,2007/10/29 00:00,The Genome Assembly Team,112381,46749900,SAMN02953672
GCF_000002125.1,Homo sapiens (human),Homo sapiens,0,2007/09/24 00:00,J. Craig Venter Institute,108431,17664250,SAMN02981236
GCF_000772875.2,Macaca mulatta (Rhesus monkey),Macaca mulatta,47.4,2015/11/30 00:00,Baylor College of Medicine Genome Sequencing Center,107172,4193270,
GCA_000212995.1,Homo sapiens (human),Homo sapiens,0,2008/09/24 00:00,J. Craig Venter Institute,100385,18941691,SAMN02981236
GCA_000252825.1,Homo sapiens (human),Homo sapiens,0,2008/09/24 00:00,J. Craig Venter Institute,100373,18942049,SAMN02981236
GCA_000365445.1,Homo sapiens (human),Homo sapiens,0,2004/02/25 00:00,Celera Genomics,97525,2954094,SAMN02981219
GCF_000003055.6,Bos taurus (cattle),Bos taurus,9,2014/11/25 00:00,"Center for Bioinformatics and Computational Biology, University of Maryland",96955,6380747,SAMN02898106
GCF_000409795.2,Chlorocebus sabaeus (green monkey),Chlorocebus sabaeus,95,2014/03/25 00:00,Vervet Genomics Consortium,90449,81825804,SAMN01760484
GCA_000317765.2,Capra hircus (goat),Capra hircus,175,2015/09/16 00:00,Beijing Genomics Institute,73533,9094169,SAMN02953816
GCF_000258655.2,Pan paniscus (pygmy chimpanzee),Pan paniscus,26,2015/08/18 00:00,Max-Planck Institute for Evolutionary Anthropology,66676,8197324,SAMEA1029457
GCA_002933975.1,Bos indicus (zebu cattle),Bos indicus,100,2018/02/22 00:00,Anand Agricultural University,64498,104295553,SAMN08225763
GCF_000151905.2,Gorilla gorilla gorilla (western lowland gorilla),Gorilla gorilla,80,2014/12/19 00:00,Wellcome Trust Sanger Institute,52934,81227029,SAMEA2272491
GCA_001712695.1,Homo sapiens (human),Homo sapiens,154.7,2016/09/20 00:00,Genome Research Foundation,47865,25272253,SAMN04018081
GCF_000002265.2,Rattus norvegicus (Norway rat),Rattus norvegicus,0,2006/12/06 00:00,Celera Genomics,39779,27430032,SAMN03000701
GCF_000146795.2,Nomascus leucogenys (northern white-cheeked gibbon),Nomascus leucogenys,5.6,2012/12/08 00:00,Gibbon Genome Sequencing Consortium,35148,52956880,SAMN02981257
GCA_011800105.1,Rattus rattus (black rat),Rattus rattus,117,2020/04/01 00:00,Max Planck Institute for the Science of Human History,31539,145848398,SAMN14087596
GCA_003704035.3,Peromyscus maniculatus bairdii (prairie deer mouse),Peromyscus maniculatus,115,2020/09/17 00:00,Harvard University / Howard Hughes Medical Institute,30111,115033041,SAMN10150431
GCF_000004665.1,Callithrix jacchus (white-tufted-ear marmoset),Callithrix jacchus,6.6,2010/01/22 00:00,Washington University (WashU),29273,5167444,SAMN02981242
GCF_000002255.3,Macaca mulatta (Rhesus monkey),Macaca mulatta,0,2006/02/27 00:00,Macaca mulatta Genome Sequencing Consortium,25707,6094595,SAMN02981228
GCA_015598185.1,Tachyglossus aculeatus (Australian echidna),Tachyglossus aculeatus,76,2020/11/19 00:00,BGI,25012,38566698,SAMN12991080
GCA_000002115.2,Homo sapiens (human),Homo sapiens,0,2004/02/25 00:00,Celera Genomics,23350,29133171,SAMN02981219
GCA_001624295.1,Mus musculus (house mouse),Mus musculus,60,2016/04/26 00:00,Wellcome Trust Sanger Institute,23042,132982296,SAMN04489815
GCA_001624215.1,Mus musculus (house mouse),Mus musculus,60,2016/04/26 00:00,Wellcome Trust Sanger Institute,19043,129072804,SAMN04489813
GCA_001624745.1,Mus musculus (house mouse),Mus musculus,60,2016/04/26 00:00,Wellcome Trust Sanger Institute,16509,132960827,SAMN04489828
GCA_001632525.1,Mus musculus (house mouse),Mus musculus,60,2016/05/09 00:00,Wellcome Trust Sanger Institute,16195,129642644,SAMN04489816
GCA_001624535.1,Mus musculus (house mouse),Mus musculus,60,2016/04/26 00:00,Wellcome Trust Sanger Institute,15797,127063089,SAMN04489825
GCA_000001545.3,Pongo abelii (Sumatran orangutan),Pongo abelii,6,2008/11/13 00:00,Orangutan Genome Sequencing Consortium,15652,747367,SAMN02981238
GCA_001632575.1,Mus musculus (house mouse),Mus musculus,60,2016/05/09 00:00,Wellcome Trust Sanger Institute,14540,133067396,SAMN04489818
GCA_001624185.1,Mus musculus (house mouse),Mus musculus,60,2016/04/26 00:00,Wellcome Trust Sanger Institute,14243,134541008,SAMN04489811
GCA_000230815.1,Macaca fascicularis (crab-eating macaque),Macaca fascicularis,50,2011/10/19 00:00,Beijing Genomics Institute,13209,1141162,SAMN00116341
GCA_001624505.1,Mus musculus (house mouse),Mus musculus,60,2016/04/26 00:00,Wellcome Trust Sanger Institute,13123,128213663,SAMN04489824
GCA_001624475.1,Mus musculus (house mouse),Mus musculus,60,2016/04/26 00:00,Wellcome Trust Sanger Institute,13074,144777665,SAMN04489823
GCA_000230795.1,Macaca mulatta (Rhesus monkey),Macaca mulatta,50,2011/10/19 00:00,Beijing Genomics Institute,12841,1660975,SAMN00113489
GCA_001632555.1,Mus musculus (house mouse),Mus musculus,60,2016/05/09 00:00,Wellcome Trust Sanger Institute,12707,139118349,SAMN04489821
GCA_001632615.1,Mus musculus (house mouse),Mus musculus,60,2016/05/09 00:00,Wellcome Trust Sanger Institute,12608,135164694,SAMN04489826
GCA_001624835.1,Mus musculus domesticus (western European house mouse),Mus musculus,60,2016/04/26 00:00,Wellcome Trust Sanger Institute,11777,133184209,SAMN04489831
GCA_001624445.1,Mus musculus castaneus (southeastern Asian house mouse),Mus musculus,60,2016/04/26 00:00,Wellcome Trust Sanger Institute,11642,133752109,SAMN04489822
GCA_000002275.2,Ornithorhynchus anatinus (platypus),Ornithorhynchus anatinus,0,2007/02/14 00:00,Washington University (WashU),11544,991605,SAMN02953646
GCA_001624675.1,Mus musculus (house mouse),Mus musculus,60,2016/04/26 00:00,Wellcome Trust Sanger Institute,9438,147352698,SAMN04489827
GCA_001624775.1,Mus musculus musculus (eastern European house mouse),Mus musculus,60,2016/04/26 00:00,Wellcome Trust Sanger Institute,5105,128387505,SAMN04489829
GCA_000003115.1,Felis catus (domestic cat),Felis catus,2.8,2009/03/16 00:00,NHGRI/Genome Technology Branch,4577,16304361,SAMN03000705
GCA_000222185.1,Macaca fascicularis (crab-eating macaque),Macaca fascicularis,0,2011/07/23 00:00,F. Hoffmann-La Roche Ltd,3658,155658674,SAMEA2272428
GCA_001883655.1,Lycaon pictus (African hunting dog),Lycaon pictus,5.8,2016/12/01 00:00,Smithsonian Institution,2695,64190785,SAMN04312209
GCA_004361675.1,Capra hircus (goat),Capra hircus,14,2019/03/22 00:00,Bangladesh Goat Genome Consortium (BGGC),819,102339471,SAMN10460883
GCA_012559485.1,Macaca fascicularis (crab-eating macaque),Macaca fascicularis,81,2020/04/08 00:00,Keio University / RIKEN,26269796,149875912,SAMD00204697
GCA_013373975.1,Callithrix jacchus (white-tufted-ear marmoset),Callithrix jacchus,43,2020/06/03 00:00,Keio University / RIKEN,24828868,132271759,SAMD00217773
GCF_000189315.1,Sarcophilus harrisii (Tasmanian devil),Sarcophilus harrisii,85,2011/02/17 00:00,Wellcome Trust Sanger Institute,20139,1847106,SAMN02953780
GCA_001292865.1,Sus scrofa (pig),Sus scrofa,20,2015/09/16 00:00,F. Hoffmann - La Roche AG,17259,153651326,SAMN03938573
GCA_000448345.1,Cricetulus griseus (Chinese hamster),Cricetulus griseus,70,2013/08/29 00:00,"CeBiTec, Bielefeld University",11899,1236516,SAMN02981520
GCA_009823495.1,Capra hircus (goat),Capra hircus,100,2019/12/31 00:00,Sher-e-Kashmir University of Agricultural Sciences and Technology,87277385,87277385,SAMN09789169
GCA_012070465.1,Bos indicus x Bos taurus (hybrid cattle),Bos indicus x Bos taurus,100,2020/04/06 00:00,PacBio,40480153,40480153,SAMN08473802
GCA_012070485.1,Bos indicus x Bos taurus (hybrid cattle),Bos indicus x Bos taurus,100,2020/04/06 00:00,PacBio,40480153,104836537,SAMN08473802
GCA_012070445.1,Bos indicus x Bos taurus (hybrid cattle),Bos indicus x Bos taurus,100,2020/04/06 00:00,PacBio,40473406,40473406,SAMN08473802
GCA_012070475.1,Bos indicus x Bos taurus (hybrid cattle),Bos indicus x Bos taurus,100,2020/04/06 00:00,PacBio,40473406,104899287,SAMN08473802
GCA_012069665.1,Bos indicus x Bos taurus (hybrid cattle),Bos indicus x Bos taurus,100,2020/04/06 00:00,PacBio,40459607,40459607,SAMN08473802
GCA_001420765.1,Homo sapiens (human),Homo sapiens,120,2015/11/02 00:00,NBACC,34007701,34007701,SAMN02743421
GCA_009859225.1,Mustela putorius furo (domestic ferret),Mustela putorius,18.57,2020/01/13 00:00,JCVI,33389539,33389539,SAMN13175630
GCA_010015535.1,Mustela putorius furo (domestic ferret),Mustela putorius,29.76,2020/01/30 00:00,JCVI,32367038,32367038,SAMN13175625
GCA_009859175.1,Mustela putorius furo (domestic ferret),Mustela putorius,21.82,2020/01/13 00:00,JCVI,32072651,32072651,SAMN13175627
GCA_009935935.1,Homo sapiens (human),Homo sapiens,70.6,2020/01/27 00:00,McDonnell Genome Institute at Washington University,30959455,30959455,SAMN12162847
GCA_001420755.1,Homo sapiens (human),Homo sapiens,120,2015/11/02 00:00,NBACC,30935124,30935124,SAMN02743421
GCA_009859215.1,Mustela putorius furo (domestic ferret),Mustela putorius,18.36,2020/01/13 00:00,JCVI,30834841,30834841,SAMN13175628
GCA_009859245.1,Mustela putorius furo (domestic ferret),Mustela putorius,24.71,2020/01/13 00:00,JCVI,30464569,30464569,SAMN13175631
GCA_009176485.1,Homo sapiens (human),Homo sapiens,75.2,2019/10/18 00:00,University of Washington,30131366,30131366,SAMN10928271
GCA_009859265.1,Mustela putorius furo (domestic ferret),Mustela putorius,19.42,2020/01/13 00:00,JCVI,29642412,29642412,SAMN13175632
GCA_002884485.1,Homo sapiens (human),Homo sapiens,76.3,2018/01/16 00:00,University of Washington,29260714,29260714,SAMN03255769
GCA_012067775.1,Homo sapiens (human),Homo sapiens,90,2020/04/06 00:00,PacBio,27810504,27810504,SAMN10182268
GCA_009859235.1,Mustela putorius furo (domestic ferret),Mustela putorius,16.58,2020/01/13 00:00,JCVI,27411789,27411789,SAMN13175629
GCA_013364845.1,Homo sapiens (human),Homo sapiens,190,2020/06/22 00:00,University of Luebeck,26733280,26733280,SAMN14558220
GCA_012553475.1,Homo sapiens (human),Homo sapiens,83,2020/04/20 00:00,Calico Labs,26657620,93171642,SAMN10522465
GCA_012553465.1,Homo sapiens (human),Homo sapiens,83,2020/04/20 00:00,Calico Labs,26656121,93207590,SAMN10522465
GCA_010367565.1,Mustela putorius furo (domestic ferret),Mustela putorius,28.15,2020/02/10 00:00,JCVI,26626591,26626591,SAMN13175624
GCA_001297185.2,Homo sapiens (human),Homo sapiens,60,2018/08/31 00:00,McDonnell Genome Institute at Washington University,26547048,26547048,SAMN02744161
GCA_012067855.1,Homo sapiens (human),Homo sapiens,90,2020/04/06 00:00,PacBio,26292878,26292878,SAMN10182268
GCA_012067805.1,Homo sapiens (human),Homo sapiens,90,2020/04/06 00:00,PacBio,26258291,26258291,SAMN10182268
GCA_001307015.1,Homo sapiens (human),Homo sapiens,115,2015/10/14 00:00,University of Washington,26162726,26162726,SAMN02743421
GCA_013364835.1,Homo sapiens (human),Homo sapiens,270,2020/06/22 00:00,University of Luebeck,25502944,25502944,SAMN14558220
GCA_003070785.1,Homo sapiens (human),Homo sapiens,78.35,2018/04/24 00:00,The Genome Institute at Washington University School of Medicine,25293151,25293151,SAMN05603847
GCA_010367575.1,Mustela putorius furo (domestic ferret),Mustela putorius,55.59,2020/02/10 00:00,JCVI,24966261,24966261,SAMN13175623
GCA_009859125.1,Mustela putorius furo (domestic ferret),Mustela putorius,23.61,2020/01/13 00:00,JCVI,24282659,24282659,SAMN13175626
GCA_011764305.1,Mustela putorius furo (domestic ferret),Mustela putorius,183.7,2020/03/27 00:00,JCVI,23598655,23598655,SAMN13896405
GCA_011008995.1,Homo sapiens (human),Homo sapiens,90,2020/02/25 00:00,McDonnell Genome Institute at Washington University,23571461,23571461,SAMN13207454
GCA_001307125.1,Homo sapiens (human),Homo sapiens,115,2015/10/14 00:00,University of Washington,23313104,23313104,SAMN02743421
GCA_009650525.1,Homo sapiens (human),Homo sapiens,68.35,2019/11/12 00:00,McDonnell Genome Institute at Washington University,22860245,22860245,SAMN11307929
GCA_012069725.1,Homo sapiens (human),Homo sapiens,62,2020/04/06 00:00,PacBio,22502524,22502524,SAMN12568975
GCA_003574075.1,Homo sapiens (human),Homo sapiens,86.84,2018/09/18 00:00,The Genome Institute at Washington University School of Medicine,22499404,22499404,SAMN05603745
GCA_012069735.1,Homo sapiens (human),Homo sapiens,62,2020/04/06 00:00,PacBio,22453174,22453174,SAMN12568975
GCA_012069705.1,Homo sapiens (human),Homo sapiens,62,2020/04/06 00:00,PacBio,22436427,22436427,SAMN12568975
GCA_002208065.1,Homo sapiens (human),Homo sapiens,80,2017/06/26 00:00,The Genome Institute at Washington University School of Medicine,22162569,22162569,SAMN04229548
GCA_014108255.1,Rhinolophus ferrumequinum (greater horseshoe bat),Rhinolophus ferrumequinum,73.3,2020/08/07 00:00,Bat1K,21749602,91996154,SAMN14734547
GCA_012933705.1,Homo sapiens (human),Homo sapiens,62,2020/04/30 00:00,PacBio,21737748,161856283,SAMN12568975
GCA_012933715.1,Homo sapiens (human),Homo sapiens,62,2020/04/30 00:00,PacBio,21737748,161982749,SAMN12568975
GCA_002209525.2,Homo sapiens (human),Homo sapiens,74.6,2018/07/02 00:00,The Genome Institute at Washington University School of Medicine,21644977,21644977,SAMN05603729
GCA_002872155.1,Homo sapiens (human),Homo sapiens,73,2018/01/10 00:00,The Genome Institute at Washington University School of Medicine,21513396,21513396,SAMN06885952
GCA_013340865.1,Felis catus (domestic cat),Felis catus,0,2020/06/03 00:00,NIG,21291731,151107676,SAMD00228405
GCA_001307025.1,Homo sapiens (human),Homo sapiens,61,2015/10/14 00:00,University of Washington,20609304,20609304,SAMN02743421
GCA_009769715.1,Homo sapiens (human),Homo sapiens,54.3,2019/12/19 00:00,McDonnell Genome Institute at Washington University,20593040,20593040,SAMN11307786
GCA_008065235.1,Homo sapiens (human),Homo sapiens,95.8,2019/08/22 00:00,McDonnell Genome Institute at Washington University,20033786,20033786,SAMN09643900
GCA_010580585.1,Homo sapiens (human),Homo sapiens,53.3,2020/02/13 00:00,McDonnell Genome Institute at Washington University,19930731,19930731,SAMN11308573
GCA_014083845.1,Homo sapiens (human),Homo sapiens,60.5,2020/08/06 00:00,McDonnell Genome Institute at Washington University,19834635,19834635,SAMN11308414
GCA_001015355.1,Homo sapiens (human),Homo sapiens,70,2015/06/01 00:00,The Genome Institute at Washington University School of Medicine,19357701,19357701,SAMN03255769
GCA_009299535.1,Homo sapiens (human),Homo sapiens,67.85,2019/10/23 00:00,McDonnell Genome Institute at Washington University,18454680,18454680,SAMN10390358
GCA_001750385.2,Homo sapiens (human),Homo sapiens,101,2016/10/13 00:00,Macrogen,18080262,44846623,SAMN04169050
GCA_004796485.2,Homo sapiens (human),Homo sapiens,28,2019/12/17 00:00,Pacific Biosciences,18015395,18015395,SAMN03283347
GCA_001421375.1,Homo sapiens (human),Homo sapiens,120,2015/11/02 00:00,NBACC,17843544,17843544,SAMN02743421
GCA_009734825.1,Homo sapiens (human),Homo sapiens,51.58,2019/12/08 00:00,McDonnell Genome Institute at Washington University,16912639,16912639,SAMN11308153
GCA_004796285.1,Homo sapiens (human),Homo sapiens,28,2019/04/16 00:00,Pacific Biosciences,16145298,16145298,SAMN03283347
GCA_010580605.1,Homo sapiens (human),Homo sapiens,50.9,2020/02/13 00:00,McDonnell Genome Institute at Washington University,13575823,13575823,SAMN13207434
GCA_000983465.1,Homo sapiens (human),Homo sapiens,70,2015/04/30 00:00,The Genome Institute at Washington University School of Medicine,13331528,13331528,SAMN03255769
GCA_010279795.1,Homo sapiens (human),Homo sapiens,87.7,2020/02/06 00:00,McDonnell Genome Institute at Washington University,13214010,13214010,SAMN13207431
GCA_011762515.1,Tursiops truncatus (common bottlenose dolphin),Tursiops truncatus,63.7,2020/03/25 00:00,Vertebrate Genomes Project,12444576,87973674,SAMN12326775
GCA_001015385.3,Homo sapiens (human),Homo sapiens,70,2015/11/20 00:00,The Genome Institute at Washington University School of Medicine,12252446,12252446,SAMN03255769
GCA_900232925.2,Homo sapiens (human),Homo sapiens,35,2018/12/06 00:00,UB,11840837,11840837,SAMEA104349931
GCA_001420745.1,Homo sapiens (human),Homo sapiens,120,2015/11/02 00:00,NBACC,11334645,11334645,SAMN02743421
GCA_011762545.1,Arvicanthis niloticus (African grass rat),Arvicanthis niloticus,60.95,2020/03/25 00:00,Vertebrate Genomes Project,11143170,79926082,SAMN12611849
GCA_013364825.1,Homo sapiens (human),Homo sapiens,270,2020/06/22 00:00,University of Luebeck,11075981,30078925,SAMN14558220
GCA_000983455.2,Homo sapiens (human),Homo sapiens,52,2015/11/20 00:00,The Genome Institute at Washington University School of Medicine,10549591,10549591,SAMN03255769
GCA_011762535.1,Tursiops truncatus (common bottlenose dolphin),Tursiops truncatus,63.7,2020/03/25 00:00,Vertebrate Genomes Project,9995053,93918948,SAMN12326775
GCA_011750645.1,Arvicanthis niloticus (African grass rat),Arvicanthis niloticus,60.95,2020/03/25 00:00,Vertebrate Genomes Project,8920743,80178650,SAMN12611849
GCA_001856745.1,Homo sapiens (human),Homo sapiens,102,2016/10/11 00:00,Sun Yat-sen University,8583694,8583694,SAMN05213946
GCA_005453305.1,Macaca mulatta (Rhesus monkey),Macaca mulatta,60,2019/05/16 00:00,None,8424208,8424208,SAMN10580871
GCA_003601015.1,Homo sapiens (human),Homo sapiens,68.6,2018/09/27 00:00,McDonnell Genome Institute at Washington University,8420670,8420670,SAMN10026989
GCA_001708065.2,Homo sapiens (human),Homo sapiens,103,2016/10/21 00:00,University of Southern California,8325012,21979250,SAMN04251426
GCA_015476415.1,Homo sapiens (human),Homo sapiens,100,2020/11/15 00:00,Frasergen Bioinformatics Inc,8228494,8228494,SAMN14638797
GCA_002966995.1,Ornithorhynchus anatinus (platypus),Ornithorhynchus anatinus,90,2018/03/02 00:00,BGI,7578676,18718360,SAMN08537700
