Assembly,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample,GenBank assembly accession,RefSeq assembly accession,sequencing_tech,long_reads
GCA_003342835.1,Pterocnemia pennata (lesser rhea),Pterocnemia pennata,42.4,7/26/18 0:00,Harvard University,68142,3903569,SAMN08476461,GCA_003342835.1,NA,Illumina HiSeq,no
GCA_003343005.1,Rhea americana (greater rhea),Rhea americana,59.9,7/26/18 0:00,Harvard University,88762,3949999,SAMN08476460,GCA_003343005.1,NA,Illumina HiSeq,no
GCA_003402825.1,Corvus hawaiiensis (hawaiian crow),Corvus hawaiiensis,80,8/16/18 0:00,University of Hawaii,7737654,7737654,SAMN09383001,GCA_003402825.1,NA,PacBio,yes
GCA_003413605.1,Chrysolophus pictus (golden pheasant),Chrysolophus pictus,130,8/20/18 0:00,Inner Mongolia Agricultural University,38217,1560063,SAMN02980944,GCA_003413605.1,NA,Illumina HiSeq 2000,no
GCA_003426825.1,Eopsaltria australis (eastern yellow robin),Eopsaltria australis,100,8/23/18 0:00,Deakin University,641411,987278,SAMN09425179,GCA_003426825.1,NA,Illumina; Nanopore,no
GCA_003435085.1,Syrmaticus mikado (Mikado pheasant),Syrmaticus mikado,160,8/31/18 0:00,National Taiwan University,107959,11324524,SAMN07211794,GCA_003435085.1,NA,Illumina HiSeq,no
GCA_003546035.1,Mixornis gularis (Striped tit-babbler),Mixornis gularis,78,9/11/18 0:00,National University of Singapore,71550,2810030,SAMN07281160,GCA_003546035.1,NA,Illumina HiSeq,no
GCA_003676055.1,Erythrura gouldiae (Gouldian finch),Erythrura gouldiae,56,10/23/18 0:00,CIBIO/InBIO Research Center in Biodiversity and Genetic Resources,137954,17126938,SAMN09689584,GCA_003676055.1,NA,Illumina HiSeq,no
GCA_003692655.1,Hirundo rustica rustica (Barn swallow),Hirundo rustica,45.4,10/29/18 0:00,University of Milan,6124600,25954216,SAMN09657529,GCA_003692655.1,NA,PacBio Sequel,yes
GCA_003697955.1,Calidris pygmaea (Spoon-billed sandpiper),Calidris pygmaea,38,10/30/18 0:00,Adam Mickiewicz University,189165,3136279,SAMN09355691,GCA_003697955.1,NA,Illumina HiSeq,no
GCA_003713305.1,Cicinnurus regius (king bird of paradise),Cicinnurus regius,65,11/6/18 0:00,University of Vienna,465502,3187586,SAMN10096784,GCA_003713305.1,NA,Illumina,no
GCA_003713285.1,Diphyllodes magnificus (birds),Diphyllodes magnificus,150,11/6/18 0:00,University of Vienna,241639,6488714,SAMN10096783,GCA_003713285.1,NA,Illumina,no
GCA_003713265.1,Paradisaea raggiana (Raggiana bird of paradise),Paradisaea raggiana,36,11/6/18 0:00,University of Vienna,96622,882045,SAMN10096787,GCA_003713265.1,NA,Illumina,no
GCA_003713215.1,Paradisaea rubra (red bird of paradise),Paradisaea rubra,96,11/6/18 0:00,University of Vienna,415330,3264865,SAMN10096786,GCA_003713215.1,NA,Illumina,no
GCA_003713295.1,Parotia lawesii (Lawes's parotia),Parotia lawesii,97,11/6/18 0:00,University of Vienna,432029,3066654,SAMN10096785,GCA_003713295.1,NA,Illumina,no
GCA_003829775.1,Junco hyemalis (dark-eyed junco),Junco hyemalis,233,11/26/18 0:00,National Museum of Natural Sciences,80164,71317294,SAMN10120167,GCA_003829775.1,NA,Illumina HiSeq,no
GCF_003850225.1,Anas platyrhynchos (mallard),Anas platyrhynchos,50,11/29/18 0:00,"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS)",36811,76129154,SAMN10245527,GCA_003850225.1,GCF_003850225.1,PacBio; BioNano; Hi-C,yes
GCA_003947215.1,Amazona collaria (yellow-billed parrot),Amazona collaria,40,12/14/18 0:00,Weill Cornell Medicine,208912,13267695,SAMN10023852,GCA_003947215.1,NA,Chromium 10X,no
GCF_003945725.1,Corapipo altera (White-ruffed manakin),Corapipo altera,56,12/14/18 0:00,Smithsonian Institution,262501,12385833,SAMN10424454,GCA_003945725.1,GCF_003945725.1,Illumina HiSeq,no
GCA_003957575.1,Calypte anna (Anna's hummingbird),Calypte anna,54,12/20/18 0:00,Vertebrate Genomes Project,1463522,1463522,SAMN02265252,GCA_003957575.1,NA,PacBio RSII; 10X Genomics linked reads,yes
GCA_003957525.1,Taeniopygia guttata (zebra finch),Taeniopygia guttata,88.2,12/20/18 0:00,Vertebrate Genomes Project,3004452,3004452,SAMN02981239,GCA_003957525.1,NA,PacBio RSII; 10X Genomics linked reads,yes
GCF_003984885.1,Neopelma chrysocephalum (saffron-crested tyrant-manakin),Neopelma chrysocephalum,80,12/28/18 0:00,Smithsonian Institution,237029,10517223,SAMN08784363,GCA_003984885.2,GCF_003984885.1,Illumina HiSeq,no
GCA_003993805.1,Himantopus himantopus leucocephalus (black-winged stilt),Himantopus himantopus,51,1/4/19 0:00,University of Otago,36551,99457149,SAMN10386166,GCA_003993805.1,NA,Illumina HiSeq,no
GCA_004011185.1,Strigops habroptila (Kakapo),Strigops habroptila,76.1,1/10/19 0:00,Vertebrate Genomes Project,153928,153928,SAMN09948751,GCA_004011185.1,NA,PacBio RSII; 10X Genomics linked reads,yes
GCF_001522545.3,Parus major (Great Tit),Parus major,95,1/15/19 0:00,"Animal Breeding and Genomics Centre, Wageningen University",148693,71365269,SAMN03083587,GCA_001522545.3,GCF_001522545.3,Illumina HiSeq,no
GCA_004023745.1,Recurvirostra avosetta (Pied Avocet),Recurvirostra avosetta,78,1/15/19 0:00,ConSERT,10462,96778,SAMN10518521,GCA_004023745.1,NA,Illumina NextSeq,no
GCF_004143745.1,Phasianus colchicus (Ring-necked pheasant),Phasianus colchicus,93,2/6/19 0:00,Shenzhen University,197843,10682894,SAMN08888240,GCA_004143745.1,GCF_004143745.1,Illumina HiSeq,no
GCA_004320205.1,Lagopus muta japonica (rock ptarmigan),Lagopus muta,71,2/15/19 0:00,"Environmental Genomics Office, Center for Environmental Biology and Ecosystem Studies, National Institute for Environmental Studies",56225,63289,SAMD00156785,GCA_004320205.1,NA,Illumina Miseq pair-end reads; Illumina HiseqX pair-end reads,no
GCA_004320125.1,Scolopax mira (Amami woodcock),Scolopax mira,55,2/15/19 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",61187,124759,SAMD00156786,GCA_004320125.1,NA,Illumina HiseqX pair-end reads,no
GCA_004320145.1,Accipiter nisus (Eurasian sparrowhawk),Accipiter nisus,52,2/16/19 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",35336,91241,SAMD00156791,GCA_004320145.1,NA,HiseqX pair-end reads,no
GCA_004320225.1,Bubo blakistoni (Blakiston's fish-owl),Bubo blakistoni,94,2/16/19 0:00,"Environmental Genomics Office, Center for Environmental Biology and Ecosystem Studies, National Institute for Environmental Studies",65049,85182,SAMD00160568,GCA_004320225.1,NA,Illumina Miseq pair-end reads; Illumina HiseqX pair-end reads,no
GCA_004320165.1,Dendrocopos noguchii (Okinawa woodpecker),Dendrocopos noguchii,74,2/16/19 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",18451,20195,SAMD00156787,GCA_004320165.1,NA,Illumina Miseq pair-end reads; Illumina HiseqX pair-end reads,no
GCA_004320185.1,Haliaeetus albicilla (white-tailed eagle),Haliaeetus albicilla,47,2/16/19 0:00,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",53802,120761,SAMD00156790,GCA_004320185.1,NA,Illumina HiseqX pair-end reads,no
GCA_004360235.1,Grus nigricollis (black-necked crane),Grus nigricollis,84,3/22/19 0:00,Sichuan University,17886166,17886166,SAMN11096029,GCA_004360235.1,NA,Oxford Nanopore PromethION; Illumina HiSeq,yes
GCF_003957555.1,Calypte anna (Anna's hummingbird),Calypte anna,54,5/16/19 0:00,Vertebrate Genomes Project,14522327,74081004,SAMN02265252,GCA_003957555.2,GCF_003957555.1,PacBio RSII; 10X Genomics linked reads; Bionano Genomics DLS; Arima Genomics HiC,yes
GCA_003957565.3,Taeniopygia guttata (zebra finch),Taeniopygia guttata,88.2,5/17/19 0:00,Vertebrate Genomes Project,11998827,70430603,SAMN02981239,GCA_003957565.3,NA,PacBio RSII; 10X Genomics linked reads; Bionano Genomics DLS; Arima Genomics HiC,yes
GCA_005519975.1,Pavo cristatus (Indian peafowl),Pavo cristatus,236,5/20/19 0:00,"DEPARTMENT OF BIOCHEMISTRY, ALL INDIA INSTITUTE OF MEDICAL SCIENCES(AIIMS), NEW DELHI, INDIA",103131,190304,SAMN07739105,GCA_005519975.1,NA,Illumina HiSeq; Oxford Nanopore MiniION,yes
GCA_901699165.1,Streptopelia turtur (birds),Streptopelia turtur,44,6/2/19 0:00,SC,776317,776317,SAMEA994735,GCA_901699165.1,NA,NA,NA
GCA_006130075.1,Branta canadensis (Canada goose),Branta canadensis,80,6/5/19 0:00,Canada's Genomic Enterprise,220846,15516710,SAMN11031539,GCA_006130075.1,NA,Illumina HiSeq,no
GCF_005870125.1,Lonchura striata domestica (Bengalese finch),Lonchura striata,151,6/5/19 0:00,HHMI/UCSF,100423,71975342,SAMN11521339,GCA_005870125.1,GCF_005870125.1,Illumina HiSeq,no
GCA_901699155.1,Streptopelia turtur (birds),Streptopelia turtur,44,6/5/19 0:00,SC,3790373,80150727,SAMEA994735,GCA_901699155.1,NA,NA,NA
GCA_006229135.1,Anser indicus (Bar-headed goose),Anser indicus,103,6/11/19 0:00,"State Key Laboratory of Plateau Ecology and Agriculture, Qinghai University",120377,10094206,SAMN11890447,GCA_006229135.1,NA,Illumina HiSeq,no
GCA_005890655.1,Centrocercus minimus (Gunnison sage-grouse),Centrocercus minimus,204,6/14/19 0:00,U.S. Geological Survey,3500535,3849570,SAMN11266852,GCA_005890655.1,NA,Illumina HiSeq; PacBio RSII,yes
GCF_001715985.3,Manacus vitellinus (golden-collared manakin),Manacus vitellinus,110,7/3/19 0:00,Smithsonian Institution National Museum of Natural History,290580,17883582,SAMN02299332,GCA_000692015.2,GCF_000692015.1,Illumina HiSeq,no
GCA_902153765.1,Aquila chrysaetos chrysaetos (golden eagle),Aquila chrysaetos,60,7/8/19 0:00,SC,640223,659735,SAMEA994725,GCA_902153765.1,NA,NA,NA
GCA_006937325.1,Anomalopteryx didiformis (little bush moa),Anomalopteryx didiformis,3.9,7/12/19 0:00,Harvard University,824,3350051,SAMN08482543,GCA_006937325.1,NA,Illumina HiSeq,no
GCA_006938045.1,Anomalopteryx didiformis (little bush moa),Anomalopteryx didiformis,4,7/12/19 0:00,Harvard University,774,3349349,SAMN08482543,GCA_006938045.1,NA,Illumina HiSeq,no
GCF_007115625.1,Serinus canaria (Common canary),Serinus canaria,50,7/18/19 0:00,CIBIO-InBIO,90869,79047965,SAMN12017177,GCA_007115625.1,GCF_007115625.1,Illumina HiSeq; PacBio RS; Chicago Sequencing; Dovetail Genomics; HiC Sequencing,no
GCA_007252995.1,Zosterops borbonicus (birds),Zosterops borbonicus,80,7/22/19 0:00,University of Montpellier,20903,1810786,SAMN11339519,GCA_007252995.1,NA,Illumina HiSeq; PacBio,yes
GCA_007556475.1,Zosterops pallidus (pale white-eye),Zosterops pallidus,80,7/26/19 0:00,University of Montpellier,26333,379821,SAMN11339534,GCA_007556475.1,NA,Illumina HiSeq,no
GCA_007636935.1,Tachycineta bicolor (Tree swallow),Tachycineta bicolor,83.6,7/30/19 0:00,Cornell University,16265,34257,SAMN12236919,GCA_007636935.1,NA,Illumina HiSeq,no
GCA_008033365.1,Pseudorectes ferrugineus (Rusty pitohui),Pseudorectes ferrugineus,23,8/20/19 0:00,National University of Singapore,10773,15139,SAMN09908057,GCA_008033365.1,NA,Illumina,no
GCF_901933205.1,Camarhynchus parvulus (birds),Camarhynchus parvulus,31,9/6/19 0:00,UPPSALA UNIVERISTY,16035651,70356807,SAMEA5603054,GCA_901933205.1,GCF_901933205.1,NA,NA
GCA_008360975.1,Lichenostomus cassidix (helmeted honeyeater),Lichenostomus cassidix,100,9/9/19 0:00,Deakin University,7673876,7973128,SAMN12287370,GCA_008360975.1,NA,Illumina NovaSeq; Oxford Nanopore MinION,yes
GCA_008658355.1,Alca torda (razorbill),Alca torda,64.69,9/23/19 0:00,G10K,1949609,1949609,SAMN12292087,GCA_008658365.1,NA,PacBio Sequel; Illumina NovaSeq; 10X Genome; Arima Hi-C,yes
GCA_008694505.1,Cyanoderma ruficeps (rufous-capped babbler),Cyanoderma ruficeps,185,9/25/19 0:00,Academia Sinica,194313,15643638,SAMN12816971,GCA_008694505.1,NA,Illumina HiSeq,no
GCA_008711295.1,Charadrius alexandrinus (Kentish plover),Charadrius alexandrinus,134,9/27/19 0:00,Sun Yat-sen University,129786,3290793,SAMN12714389,GCA_008711295.1,NA,Illumina HiSeq,no
GCA_008822125.1,Taeniopygia guttata (zebra finch),Taeniopygia guttata,82.5,10/3/19 0:00,Vertebrate Genomes Project,4443179,71341325,SAMN09946140,GCA_008822125.1,NA,PacBio Sequel; 10X genome; Bionano Genomics; Arima Genomics Hi-C; Illumina HiSeq,yes
GCA_008746955.1,Anas platyrhynchos (mallard),Anas platyrhynchos,100,10/7/19 0:00,China Agricultural University,11467013,77626585,SAMN12287667,GCA_008746955.1,NA,PacBio Sequel,yes
GCA_008692595.1,Colinus virginianus (northern bobwhite),Colinus virginianus,118,10/7/19 0:00,Louisiana State University,136674,66809948,SAMN09044008,GCA_008692595.1,NA,Illumina HiSeq,no
GCA_008921705.1,Burhinus oedicnemus (Eurasian thick-knee),Burhinus oedicnemus,137,10/8/19 0:00,International Fund for Houbara Conservation,93678,1937420,SAMN11554498,GCA_008921705.1,NA,Illumina HiSeq,no
GCA_008658365.1,Alca torda (razorbill),Alca torda,64.69,10/10/19 0:00,G10K,18221265,84526827,SAMN12292087,GCA_008658355.1,NA,PacBio Sequel; Illumina NovaSeq; 10X Genome; Arima Hi-C,yes
GCF_000146605.3,Meleagris gallopavo (turkey),Meleagris gallopavo,35,10/21/19 0:00,Turkey Genome Consortium,27076,3898092,SAMN02981253,GCA_000146605.4,GCF_000146605.3,Illumina GAII; Sanger; 454,no
GCA_009430485.1,Anthochaera phrygia (Regent honeyeater),Anthochaera phrygia,1,10/31/19 0:00,The Australian National University,944,4482,SAMN12070213,GCA_009430485.1,NA,Illumina HiSeq,no
GCA_009650515.1,Corvus moneduloides (New Caledonian crow),Corvus moneduloides,100,11/12/19 0:00,University of Otago,331397,4457533,SAMN12418287,GCA_009650515.1,NA,Illumina HiSeq,no
GCA_009651025.1,Corvus moneduloides (New Caledonian crow),Corvus moneduloides,62.08,11/12/19 0:00,Vertebrate Genomes Project,2563033,2563033,SAMN12368441,GCA_009651025.1,NA,PacBio Sequel I; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_902168055.1,Aratinga solstitialis (sun parakeet),Aratinga solstitialis,100,11/14/19 0:00,INSTITUT DE BIOLOGIA EVOLUTIVA (CSIC-UPF),236229,16980747,SAMEA5743801,GCA_902168055.1,NA,NA,NA
GCF_009650955.1,Corvus moneduloides (New Caledonian crow),Corvus moneduloides,62.08,11/14/19 0:00,Vertebrate Genomes Project,11524098,74699841,SAMN12368441,GCA_009650955.1,GCF_009650955.1,PacBio Sequel I; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009690805.1,Hemignathus wilsoni (Akiapolaau),Hemignathus wilsoni,134,11/22/19 0:00,Smithsonian Institution,69851,3340285,SAMN10867508,GCA_009690805.1,NA,Illumina,no
GCA_009194515.1,Cairina moschata domestica (Muscovy Duck (domestic type)),Cairina moschata,100,11/25/19 0:00,McDonnell Genome Institute - Washington University School of Medicine,89133,2417665,SAMN08035743,GCA_009194515.1,NA,Illumina HiSeq,no
GCA_009741485.1,Malurus cyaneus samueli (Superb fairywren),Malurus cyaneus,51.2,12/12/19 0:00,Australian National University,210412,68113514,SAMN12217597,GCA_009741485.1,NA,Illumina HiSeq; Illumina MiSeq; PacBio RSII,yes
GCA_009764545.1,Geothlypis trichas (common yellowthroat),Geothlypis trichas,52.11,12/18/19 0:00,G10K,1049351,1049351,SAMN12631222,GCA_009764595.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009764505.1,Tauraco erythrolophus (red-crested turaco),Tauraco erythrolophus,65.99,12/18/19 0:00,Vertebrate Genomes Project,1233539,1233539,SAMN12621036,GCA_009769465.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009769595.1,Bucorvus abyssinicus (Abyssinian ground-hornbill),Bucorvus abyssinicus,66,12/19/19 0:00,Vertebrate Genomes Project,954952,954952,SAMN12614799,GCA_009769605.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009769485.1,Cygnus olor (mute swan),Cygnus olor,60.23,12/19/19 0:00,Vertebrate Genomes Project,328714,328714,SAMN12621369,GCA_009769625.1,NA,PacBio Sequel 1 CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009764595.1,Geothlypis trichas (common yellowthroat),Geothlypis trichas,52.11,12/19/19 0:00,G10K,3247339,72541719,SAMN12631222,GCA_009764545.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009769505.1,Pterocles gutturalis (yellow-throated sandgrouse),Pterocles gutturalis,70.94,12/19/19 0:00,Vertebrate Genomes Project,1147717,1147717,SAMN12623217,GCA_009769525.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009769465.1,Tauraco erythrolophus (red-crested turaco),Tauraco erythrolophus,65.99,12/19/19 0:00,Vertebrate Genomes Project,11927027,85562082,SAMN12621036,GCA_009764505.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009819845.1,Aythya fuligula (tufted duck),Aythya fuligula,64.03,12/23/19 0:00,Vertebrate Genomes Project,4453028,4453028,SAMN12621346,GCA_009819845.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009769605.1,Bucorvus abyssinicus (Abyssinian ground-hornbill),Bucorvus abyssinicus,66,12/23/19 0:00,Vertebrate Genomes Project,12039478,40274051,SAMN12614799,GCA_009769595.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009819485.1,Cariama cristata (Red-legged seriema),Cariama cristata,50.93,12/23/19 0:00,Vertebrate Genomes Project,1876668,1876668,SAMN12614807,GCA_009819825.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009769625.1,Cygnus olor (mute swan),Cygnus olor,60.23,12/23/19 0:00,Vertebrate Genomes Project,7743145,81035313,SAMN12621369,GCA_009769485.1,NA,PacBio Sequel; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009792885.1,Eremophila alpestris peregrina (horned lark),Eremophila alpestris,135,12/23/19 0:00,Cornell University,193817,9421811,SAMN12913182,GCA_009792885.1,NA,Illumina HiSeq,no
GCA_009819585.1,Merops nubicus (carmine bee-eater),Merops nubicus,60.12,12/23/19 0:00,Vertebrate Genomes Project,1966515,1966515,SAMN12621035,GCA_009819595.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009819805.1,Phoenicopterus ruber ruber (American flamingo),Phoenicopterus ruber,61.27,12/23/19 0:00,G10K,1417567,1417567,SAMN12614931,GCA_009819805.1,NA,PacBio Sequel; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009769525.1,Pterocles gutturalis (yellow-throated sandgrouse),Pterocles gutturalis,70.94,12/23/19 0:00,Vertebrate Genomes Project,12131577,43262132,SAMN12623217,GCA_009769505.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009819645.1,Sterna hirundo (Common tern),Sterna hirundo,67.91,12/23/19 0:00,Vertebrate Genomes Project,5650192,5650192,SAMN12369541,GCA_009819645.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009819715.1,Sylvia atricapilla (blackcap),Sylvia atricapilla,66.29,12/23/19 0:00,Vertebrate Genomes Project,1545467,1545467,SAMN12369542,GCA_009819715.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009806455.1,Tetrax tetrax (birds),Tetrax tetrax,85,12/27/19 0:00,International Fund for Houbara Conservation,43434,389676,SAMN11607794,GCA_009806455.1,NA,Illumina HiSeq,no
GCF_009819795.1,Aythya fuligula (tufted duck),Aythya fuligula,64.03,12/31/19 0:00,Vertebrate Genomes Project,17816505,85905639,SAMN12621346,GCA_009819795.1,GCF_009819795.1,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009819825.1,Cariama cristata (Red-legged seriema),Cariama cristata,50.93,12/31/19 0:00,Vertebrate Genomes Project,13514148,30176635,SAMN12614807,GCA_009819485.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009819595.1,Merops nubicus (carmine bee-eater),Merops nubicus,60.12,12/31/19 0:00,Vertebrate Genomes Project,12372304,49132790,SAMN12621035,GCA_009819585.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009823435.1,Nymphicus hollandicus (cockatiel),Nymphicus hollandicus,240,12/31/19 0:00,IRIDIAN GENOMES,38997,3634611,SAMN09580626,GCA_009823435.1,NA,Illumina,no
GCA_009819775.1,Phoenicopterus ruber ruber (American flamingo),Phoenicopterus ruber,61.27,12/31/19 0:00,Vertebrate Genomes Project,14700712,85472901,SAMN12614931,GCA_009819775.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009812075.1,Sialia sialis (eastern bluebird),Sialia sialis,114,12/31/19 0:00,Louisiana State University,53982,32306702,SAMN12412825,GCA_009812075.1,NA,Illumina HiSeq,no
GCA_009819605.1,Sterna hirundo (Common tern),Sterna hirundo,67.91,12/31/19 0:00,Vertebrate Genomes Project,22002498,85487239,SAMN12369541,GCA_009819605.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009819655.1,Sylvia atricapilla (blackcap),Sylvia atricapilla,66.29,12/31/19 0:00,Vertebrate Genomes Project,7345957,72978054,SAMN12369542,GCA_009819655.1,NA,PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009829205.1,Chiroxiphia lanceolata (lance-tailed manakin),Chiroxiphia lanceolata,67.75,1/3/20 0:00,Vertebrate Genomes Project,1085679,1085679,SAMN12620979,GCA_009829205.1,NA,PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCF_009829145.1,Chiroxiphia lanceolata (lance-tailed manakin),Chiroxiphia lanceolata,67.75,1/3/20 0:00,Vertebrate Genomes Project,18496167,75608808,SAMN12620979,GCA_009829145.1,GCF_009829145.1,PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS,yes
GCA_009859025.1,Taeniopygia guttata (zebra finch),Taeniopygia guttata,82.5,1/13/20 0:00,Vertebrate Genomes Project,1021454,1021454,SAMN09946140,GCA_009859025.1,NA,PacBio Sequel I,yes
GCA_009867205.1,Aratinga weddellii (birds),Aratinga weddellii,2019,1/14/20 0:00,IRIDIAN GENOMES,124592,9081201,SAMN09681954,GCA_009867205.1,NA,Illumina,no
GCA_009867235.1,Psittacus erithacus (grey parrot),Psittacus erithacus,120,1/14/20 0:00,IRIDIAN GENOMES,175666,6797924,SAMN12165726,GCA_009867235.1,NA,Illumina,no
GCA_009867315.1,Psittacus timneh (Timneh parrot),Psittacus timneh,80,1/14/20 0:00,IRIDIAN GENOMES,239765,13646571,SAMN12165721,GCA_009867315.1,NA,Illumina,no
GCA_009936445.1,Anodorhynchus hyacinthinus (hyacinth macaw),Anodorhynchus hyacinthinus,120,1/27/20 0:00,IRIDIAN GENOMES,88936,3229032,SAMN09689126,GCA_009936445.1,NA,Illumina HiSeq,no
GCA_010014805.1,Ara ararauna (blue-and-yellow macaw),Ara ararauna,110,1/30/20 0:00,IRIDIAN GENOMES,128137,2859019,SAMN10247388,GCA_010014805.1,NA,Illumina,no
GCA_010014725.1,Ara chloropterus (red-and-green macaw),Ara chloropterus,140,1/30/20 0:00,IRIDIAN GENOMES,1535524,33226762,SAMN11250489,GCA_010014725.1,NA,Illumina,no
GCA_010015425.1,Ara glaucogularis (Blue-throated macaw),Ara glaucogularis,120,1/30/20 0:00,IRIDIAN GENOMES,87476,19537597,SAMN10247383,GCA_010015425.1,NA,Illumina,no
GCA_010015965.1,Ara militaris (military macaw),Ara militaris,110,1/30/20 0:00,IRIDIAN GENOMES,177519,4054913,SAMN11250506,GCA_010015965.1,NA,Illumina,no
GCA_010015045.1,Cacatua leadbeateri (Major Mitchell's cockatoo),Cacatua leadbeateri,110,1/30/20 0:00,IRIDIAN GENOMES,516623,7891727,SAMN11250505,GCA_010015045.1,NA,Illumina,no
GCA_010014925.1,Lorius garrulus (chattering lory),Lorius garrulus,120,1/30/20 0:00,IRIDIAN GENOMES,122760,5420790,SAMN09580627,GCA_010014925.1,NA,Illumina,no
GCA_010014875.1,Psitteuteles goldiei (birds),Psitteuteles goldiei,240,1/30/20 0:00,IRIDIAN GENOMES,486424,19094663,SAMN10247382,GCA_010014875.1,NA,Illumina,no
GCA_010014865.1,Pyrrhura frontalis (maroon-bellied parakeet),Pyrrhura frontalis,120,1/30/20 0:00,IRIDIAN GENOMES,86226,18208294,SAMN09681955,GCA_010014865.1,NA,Illumina,no
GCA_010014965.1,Pyrrhura griseipectus (Gray-breasted parakeet),Pyrrhura griseipectus,120,1/30/20 0:00,IRIDIAN GENOMES,57804,4077983,SAMN13698507,GCA_010014965.1,NA,Illumina,no
GCA_010087175.1,Aptenodytes patagonicus (king penguin),Aptenodytes patagonicus,120,1/31/20 0:00,BGI-Shenzhen,133461,2912628,SAMN12384866,GCA_010087175.1,NA,BGISEQ,no
GCA_010085355.1,Eudyptes chrysocome (Rockhopper penguin),Eudyptes chrysocome,163,1/31/20 0:00,BGI-Shenzhen,80552,1949323,SAMN12384872,GCA_010085355.1,NA,Illumina HiSeq,no
GCA_010084205.1,Eudyptes chrysolophus (Macaroni penguin),Eudyptes chrysolophus,109,1/31/20 0:00,BGI-Shenzhen,215030,13794837,SAMN12384869,GCA_010084205.1,NA,BGISEQ,no
GCA_010085365.1,Eudyptes filholi (Southern rockhopper penguin),Eudyptes filholi,164,1/31/20 0:00,BGI-Shenzhen,86112,6429221,SAMN12384873,GCA_010085365.1,NA,Illumina HiSeq,no
GCA_010082375.1,Eudyptes moseleyi (Northern rockhopper penguin),Eudyptes moseleyi,140,1/31/20 0:00,BGI-Shenzhen,42318,2252023,SAMN12384871,GCA_010082375.1,NA,Illumina HiSeq,no
