#Organism Name,Organism Groups,Strain,BioSample,BioProject,AssemblyAccession,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,ReleaseOrder,Year,GenBank FTP,RefSeq FTP
Pseudonaja textilis,Squamata,,SAMEA4800208,PRJEB27869,GCA_900518735.1,Scaffold,1590.04,40.1,,ULFR01,28550,31677,8/19/2018,878,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/518/735/GCA_900518735.1_EBS10Xv2-PRI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/518/735/GCF_900518735.1_EBS10Xv2-PRI
Chrysolophus pictus,Aves,,SAMN02980944,PRJNA257945,GCA_003413605.1,Scaffold,1023.99,41,,JRFT01,14294,0,8/20/2018,879,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/413/605/GCA_003413605.1_Chrysolophus_pictus_GenomeV1.0,
Perca fluviatilis,Osteichthyes,Loo-19062017,SAMN08954933,PRJNA450919,GCA_003412525.1,Scaffold,958.225,45.1,mitochondrion MT:CM010607.1,QFAT01,31105,0,8/21/2018,880,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/412/525/GCA_003412525.1_UTU_Pfluv_1.1,
Oplegnathus fasciatus,Osteichthyes,NIFS,SAMN07331350,PRJNA393383,GCA_003416845.1,Scaffold,766.301,38.7,,NTHP01,4149,0,8/22/2018,881,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/416/845/GCA_003416845.1_ASM341684v1,
Eopsaltria australis,Aves,EYR054,SAMN09425179,PRJNA476023,GCA_003426825.1,Scaffold,1228.34,43,,QKXG01,20702,0,8/23/2018,882,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/426/825/GCA_003426825.1_eyr_v1,
Urocitellus parryii,Mammalia,AGS 11-09-20,SAMN09469529,PRJNA489874,GCA_003426925.1,Scaffold,2520.51,41,,QVIC01,15884,36308,8/24/2018,883,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/426/925/GCA_003426925.1_ASM342692v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/426/925/GCF_003426925.1_ASM342692v1
Aquila chrysaetos chrysaetos,Aves,,SAMEA994725,PRJEB27699,GCA_900496995.2, Chromosome,1203.45,42.0573,chromosome 1:NC_044004.1/LR606181.1; chromosome 2:NC_044005.1/LR606182.1; chromosome 3:NC_044006.1/LR606183.1; chromosome 4:NC_044007.1/LR606184.1; chromosome 5:NC_044008.1/LR606185.1; chromosome 6:NC_044009.1/LR606186.1; chromosome 7:NC_044010.1/LR606187.1; chromosome 8:NC_044011.1/LR606188.1; chromosome 9:NC_044012.1/LR606189.1; chromosome 10:NC_044013.1/LR606190.1; chromosome 11:NC_044014.1/LR606191.1; chromosome 12:NC_044015.1/LR606192.1; chromosome 13:NC_044016.1/LR606193.1; chromosome 14:NC_044017.1/LR606194.1; chromosome 15:NC_044018.1/LR606195.1; chromosome 16:NC_044019.1/LR606196.1; chromosome 17:NC_044020.1/LR606197.1; chromosome 18:NC_044021.1/LR606198.1; chromosome 19:NC_044022.1/LR606199.1; chromosome 20:NC_044023.1/LR606200.1; chromosome 21:NC_044024.1/LR606201.1; chromosome 22:NC_044025.1/LR606202.1; chromosome 23:NC_044026.1/LR606203.1; chromosome 24:NC_044027.1/LR606204.1; chromosome 25:NC_044028.1/LR606205.1; chromosome 26:NC_044029.1/LR606206.1; chromosome 27:NC_044030.1/; chromosome Z:LR606180.1,UFQG02,142,48143,8/29/2018,884,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/496/995/GCA_900496995.2_bAquChr1.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/496/995/GCF_900496995.1_bAquChr1.2
Vombatus ursinus,Mammalia,,SAMEA4791334,PRJEB27783,GCA_900497805.2,Scaffold,3486.6,38.9,mitochondrion MT:NC_003322.1/,UNPS02,15416,42624,8/29/2018,885,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/497/805/GCA_900497805.2_bare-nosed_wombat_genome_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/497/805/GCF_900497805.2_bare-nosed_wombat_genome_assembly
Syrmaticus mikado,Aves,TWDZ01,SAMN07211794,PRJNA389983,GCA_003435085.1,Scaffold,1066.43,40.5,,QGNR01,71281,0,8/31/2018,886,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/435/085/GCA_003435085.1_NTU_Smik_1.2,
Tursiops truncatus,Mammalia,Sample_04329,SAMN09426418,PRJNA478376,GCA_003435595.3,Scaffold,4816.48,40.2,,QUXD02,97787,0,8/31/2018,887,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/435/595/GCA_003435595.3_Tur_tru_Illumina_phased_v1,
Thermophis baileyi,Squamata,13-Jan,SAMN09279788,PRJNA473624,GCA_003457575.1,Scaffold,1747.68,0,,QLTV01,20729,0,9/5/2018,888,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/457/575/GCA_003457575.1_DSBC_Tbai_1.0,
Eonycteris spelaea,Mammalia,SIG01,SAMN08225740,PRJNA427241,GCA_003508835.1,Contig,1966.86,40.3,,PUFA01,4469,0,9/7/2018,889,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/508/835/GCA_003508835.1_Espe.v1,
Sousa chinensis,Mammalia,MY-2018,SAMN08903183,PRJNA449414,GCA_003521335.2,Scaffold,2339.09,40.9,,QWLN02,20903,19651,9/10/2018,890,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/521/335/GCA_003521335.2_S_chinensis_fine_genome_map,
Mixornis gularis,Aves,PRS3255,SAMN07281160,PRJNA392017,GCA_003546035.1,Scaffold,1036.1,0,,QVAJ01,9542,0,9/11/2018,891,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/546/035/GCA_003546035.1_ASM354603v1,
Anguilla japonica,Osteichthyes,,SAMD00098195,PRJDB6433,GCA_003597225.1,Scaffold,966.917,0,,BEWY01,83292,0,9/14/2018,892,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/225/GCA_003597225.1_Ajp_01,
Homo sapiens,Mammalia,HG02818,SAMN05603745,PRJNA339722,GCA_003574075.1,Contig,2875.77,40.9,,QYBF01,3267,0,9/18/2018,893,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/574/075/GCA_003574075.1_HG02818_prelim_1.0,
Oxygymnocypris stewartii,Osteichthyes,Jianluoli-Novo-2018,SAMN09762613,PRJNA485858,GCA_003573665.1,Scaffold,1849.22,0,,QVTF01,26281,0,9/18/2018,894,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/573/665/GCA_003573665.1_Novo_Ost_1.0,
Ursus arctos horribilis,Mammalia,GAN/ISIS:MIG12-29695490/34125,SAMN09907428,PRJNA493656,GCA_003584765.1,Scaffold,2328.66,41.9,mitochondrion MT:NC_003427.1/,QXTK01,6673,43168,9/20/2018,895,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/584/765/GCA_003584765.1_ASM358476v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/584/765/GCF_003584765.1_ASM358476v1
Salvator merianae,Squamata,LG2117,SAMN09273531,PRJNA473319,GCA_003586115.2,Scaffold,2068.17,41.5,,QVOM02,4512,0,9/20/2018,896,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/586/115/GCA_003586115.2_HLtupMer6,
Sardina pilchardus,Osteichthyes,,SAMEA4809151,PRJEB27990,GCA_900499035.1,Scaffold,949.617,0,,UIGZ01,117259,0,9/24/2018,897,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/499/035/GCA_900499035.1_SP_G,
Chelonoidis abingdonii,Testudines,Lonesome George,SAMN07840320,PRJNA611832,GCA_003597395.1,Scaffold,2300.74,44.1,,PKMU01,10618,44358,9/25/2018,898,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/395/GCA_003597395.1_ASM359739v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/597/395/GCF_003597395.1_ASM359739v1
Homo sapiens,Mammalia,HG03807,SAMN10026989,PRJNA490190,GCA_003601015.1,Contig,2861.94,40.9,,RAIB01,3103,0,9/27/2018,899,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/601/015/GCA_003601015.1_HG03807_prelim_1.0,
Homo sapiens,Mammalia,,SAMN07722385,PRJNA321780,GCA_003610035.2,Scaffold,293.418,41.1,,PDBU01,124240,0,9/27/2018,900,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/610/035/GCA_003610035.2_CAAPA_Pan-Genome,
Carcharodon carcharias,Chondrichthyes,C_car_delaware_2007,SAMN01915239,PRJNA269969,GCA_003604245.1,Scaffold,3915.28,40.6,,QUOW01,9222,0,10/1/2018,901,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/604/245/GCA_003604245.1_ASM360424v1,
Sardina pilchardus,Osteichthyes,SPI-2018,SAMN09664902,PRJNA481265,GCA_003604335.1,Scaffold,641.492,44.4,,QPKT01,45321,0,10/1/2018,902,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/604/335/GCA_003604335.1_UP_Spi,
Morone chrysops,Osteichthyes,DOM152,SAMN10103279,PRJNA492499,GCA_003610055.1,Scaffold,620.984,40,,QZMW01,84096,0,10/2/2018,903,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/610/055/GCA_003610055.1_DOM152_MoChry_1.0,
Homo sapiens,Mammalia,HG00733,SAMN10182268,PRJNA483067,GCA_003634875.1, Chromosome,5786.5,40.9516,chromosome 1:CM010808.1; chromosome 1:CM010831.1; chromosome 2:CM010832.1; chromosome 2:CM010809.1; chromosome 3:CM010810.1; chromosome 3:CM010833.1; chromosome 4:CM010811.1; chromosome 4:CM010834.1; chromosome 5:CM010835.1; chromosome 5:CM010812.1; chromosome 6:CM010813.1; chromosome 6:CM010836.1; chromosome 7:CM010814.1; chromosome 7:CM010837.1; chromosome 8:CM010815.1; chromosome 8:CM010838.1; chromosome 9:CM010816.1; chromosome 9:CM010839.1; chromosome 10:CM010817.1; chromosome 10:CM010840.1; chromosome 11:CM010818.1; chromosome 11:CM010841.1; chromosome 12:CM010819.1; chromosome 12:CM010842.1; chromosome 13:CM010820.1; chromosome 13:CM010843.1; chromosome 14:CM010844.1; chromosome 14:CM010821.1; chromosome 15:CM010822.1; chromosome 15:CM010845.1; chromosome 16:CM010846.1; chromosome 16:CM010823.1; chromosome 17:CM010847.1; chromosome 17:CM010824.1; chromosome 18:CM010825.1; chromosome 18:CM010848.1; chromosome 19:CM010849.1; chromosome 19:CM010826.1; chromosome 20:CM010850.1; chromosome 20:CM010827.1; chromosome 21:CM010851.1; chromosome 21:CM010828.1; chromosome 22:CM010852.1; chromosome 22:CM010829.1; chromosome X:CM010830.1; chromosome X:CM010853.1,RBJD01,566,0,10/5/2018,904,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/634/875/GCA_003634875.1_HG00733_Phased_Diploid,
Homo sapiens,Mammalia,,SAMEA4824001,PRJEB28143,GCA_900518905.1,Contig,21.4648,39.7,,ULGL01,35,0,10/12/2018,905,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/518/905/GCA_900518905.1_HG02982_chrY_v1,
Tenualosa ilisha,Osteichthyes,padma bd,SAMN10026359,PRJNA490156,GCA_003651195.1,Scaffold,815.648,43.3,,QYSC01,124209,0,10/15/2018,906,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/651/195/GCA_003651195.1_ASM365119v1,
Betta splendens,Osteichthyes,Giant,SAMN07955939,PRJNA416843,GCA_003650155.1,Scaffold,456.232,40.9,,QFDP01,12333,0,10/15/2018,907,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/650/155/GCA_003650155.1_ASM365015v1,
Electrophorus electricus,Osteichthyes,MRS-EE1,SAMN02802636,PRJNA504029,GCA_003665695.2,Scaffold,551.881,41.2,,RBHW02,8786,0,10/17/2018,908,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/665/695/GCA_003665695.2_Ee_SOAP_WITH_SSPACE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/695/GCF_003665695.1_Ee_SOAP_WITH_SSPACE
Cricetulus griseus,Mammalia,17A/GY,SAMN07140313,PRJNA498699,GCA_003668045.2, Chromosome,2366.63,41.5142,chromosome 2:NC_048595.1/CM023436.1; chromosome 3:NC_048596.1/CM023437.1; chromosome 4:NC_048597.1/CM023438.1; chromosome 5:NC_048598.1/CM023439.1; chromosome 6:NC_048599.1/CM023440.1; chromosome 7:NC_048600.1/CM023441.1; chromosome 8:NC_048601.1/CM023442.1; chromosome 9:NC_048602.1/CM023443.1; chromosome 10:NC_048603.1/CM023444.1; chromosome X:NC_048604.1/CM023445.1,RAZU02,647,46638,10/21/2018,909,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/668/045/GCA_003668045.2_CriGri-PICRH-1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/668/045/GCF_003668045.3_CriGri-PICRH-1.0
Acinonyx jubatus,Mammalia,Rico,SAMN09699341,PRJNA504297,GCA_003709585.1,Scaffold,2384.85,41.6,mitochondrion MT:NC_005212.1/,QURD01,3220,56261,10/22/2018,910,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/585/GCA_003709585.1_Aci_jub_2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/709/585/GCF_003709585.1_Aci_jub_2
Marmota flaviventris,Mammalia,SJ_83,SAMN10078668,PRJNA516936,GCA_003676075.2,Scaffold,2581.36,40.1,mitochondrion MT:NC_042243.1/,QZWP02,33624,37627,10/22/2018,911,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/676/075/GCA_003676075.2_GSC_YBM_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/676/075/GCF_003676075.2_GSC_YBM_2.0
Pangasianodon hypophthalmus,Osteichthyes,VN_RIA2_2014,SAMN08866743,PRJNA501861,GCA_003671635.1,Scaffold,715.76,37.7001,mitochondrion MT:CM010854.1,QUXB01,567,0,10/22/2018,912,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/671/635/GCA_003671635.1_VN_pangasius,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/671/635/GCF_003671635.1_VN_pangasius
Erythrura gouldiae,Aves,Red01,SAMN09689584,PRJNA478907,GCA_003676055.1,Scaffold,1070.79,41,,QUSF01,18372,18989,10/23/2018,913,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/676/055/GCA_003676055.1_GouldianFinch,
Lagenorhynchus obliquidens,Mammalia,GAN/ISIS:26980383/991018,SAMN09386610,PRJNA504867,GCA_003676395.1,Scaffold,2334.47,41.3,mitochondrion MT:NC_035426.1/,RCWK01,5422,54600,10/23/2018,914,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/676/395/GCA_003676395.1_ASM367639v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/676/395/GCF_003676395.1_ASM367639v1
Hirundo rustica rustica,Aves,Chelidonia,SAMN09657529,PRJNA481100,GCA_003692655.1,Scaffold,1213.74,41.6,,QRBI01,364,35006,10/29/2018,915,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/692/655/GCA_003692655.1_Chelidonia,
Calidris pygmaea,Aves,Meinypilgyno,SAMN09355691,PRJNA419629,GCA_003697955.1,Scaffold,1178.37,44.2,,QJSC01,29819,0,10/30/2018,916,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/697/955/GCA_003697955.1_ASM369795v1,
Taxidea taxus jeffersonii,Mammalia,Tt_UBC01,SAMN09519665,PRJNA478572,GCA_003697995.1,Scaffold,2416.01,41.2,,RCUC01,145161,0,10/30/2018,917,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/697/995/GCA_003697995.1_ASM369799v1,
Odocoileus hemionus sitkensis,Mammalia,Cn_RI01,SAMN09430949,PRJNA476345,GCA_003697985.1,Scaffold,2324.92,42.6,,RFLZ01,358334,0,10/30/2018,918,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/697/985/GCA_003697985.1_ASM369798v1,
Peromyscus polionotus subgriseus,Mammalia,PO,SAMN10150432,PRJNA494229,GCA_003704135.2, Chromosome,2645.11,42.9297,chromosome 1:CM010903.1; chromosome 2:CM010904.1; chromosome 3:CM010905.1; chromosome 4:CM010906.2; chromosome 5:CM010907.1; chromosome 6:CM010908.1; chromosome 7:CM010909.1; chromosome 8:CM010910.1; chromosome 9:CM010911.1; chromosome 10:CM010912.1; chromosome 11:CM010913.1; chromosome 12:CM010914.1; chromosome 13:CM010915.1; chromosome 14:CM010916.1; chromosome 15:CM010917.1; chromosome 16:CM010918.1; chromosome 17:CM010919.1; chromosome 18:CM010920.1; chromosome 19:CM010921.1; chromosome 20:CM010922.1; chromosome 21:CM010923.1; chromosome 22:CM010924.1; chromosome 23:CM010925.1; chromosome X:CM010926.1,RCWS02,5292,0,10/30/2018,919,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/704/135/GCA_003704135.2_HU_Ppol_1.3.3,
Peromyscus maniculatus bairdii,Mammalia,BW,SAMN10150431,PRJNA494228,GCA_003704035.3, Chromosome,2512.42,42.5798,chromosome 1:CM010879.2; chromosome 2:CM010880.2; chromosome 3:CM010881.2; chromosome 4:CM010882.2; chromosome 5:CM010883.2; chromosome 6:CM010884.2; chromosome 7:CM010885.2; chromosome 8:CM010886.1; chromosome 9:CM010887.2; chromosome 10:CM010888.2; chromosome 11:CM010889.2; chromosome 12:CM010890.2; chromosome 13:CM010891.2; chromosome 14:CM010892.2; chromosome 15:CM010893.2; chromosome 16:CM010894.2; chromosome 17:CM010895.2; chromosome 18:CM010896.2; chromosome 19:CM010897.2; chromosome 20:CM010898.1; chromosome 21:CM010899.2; chromosome 22:CM010900.2; chromosome 23:CM010901.2; chromosome X:CM010902.2,RCWR01,8523,0,10/30/2018,920,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/704/035/GCA_003704035.3_HU_Pman_2.1.3,
Homo sapiens,Mammalia,HG00268,SAMN09643900,PRJNA481779,GCA_003711475.1,Contig,1413.48,43.6,,QVRL01,16502,0,11/2/2018,921,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/475/GCA_003711475.1_HG00268_EEE_SV-Pop.1,
Homo sapiens,Mammalia,HG02106,SAMN09651199,PRJNA481779,GCA_003711455.1,Contig,1387.18,43.4,,QVRK01,17407,0,11/2/2018,922,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/455/GCA_003711455.1_HG02106_EEE_SV-Pop.1,
Homo sapiens,Mammalia,CHM1,SAMN02744161,PRJNA481779,GCA_003709635.1,Contig,881.496,43.4,,QPKN01,13983,0,11/2/2018,923,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/635/GCA_003709635.1_CHM1_EEE_SV-Pop.1,
Homo sapiens,Mammalia,HG01352,SAMN05603729,PRJNA481779,GCA_003709745.1,Contig,957.418,43.3,,QVRG01,16182,0,11/2/2018,924,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/745/GCA_003709745.1_HG01352_EEE_SV-Pop.1,
Homo sapiens,Mammalia,HG04217,SAMN09690649,PRJNA481779,GCA_003709805.1,Contig,787.51,42.4,,QVRJ01,14510,0,11/2/2018,925,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/805/GCA_003709805.1_HG04217_EEE_SV-Pop.1,
Homo sapiens,Mammalia,HG02818,SAMN05603745,PRJNA481779,GCA_003709695.1,Contig,1064.01,43.6,,QVRE01,19052,0,11/2/2018,926,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/695/GCA_003709695.1_HG02818_EEE_SV-Pop.1,
Homo sapiens,Mammalia,HG02059,SAMN05603847,PRJNA481779,GCA_003709765.1,Contig,981.782,43.6,,QVRH01,16937,0,11/2/2018,927,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/765/GCA_003709765.1_HG02059_EEE_SV-Pop.1,
Homo sapiens,Mammalia,NA12878,SAMN05181962,PRJNA481779,GCA_003709785.1,Contig,806.268,43.1,,QVRI01,15747,0,11/2/2018,928,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/785/GCA_003709785.1_NA12878_EEE_SV-Pop.1,
Homo sapiens,Mammalia,NA19434,SAMN06885952,PRJNA481779,GCA_003709735.1,Contig,1032.95,43.6,,QVRF01,18969,0,11/2/2018,929,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/735/GCA_003709735.1_NA19434_EEE_SV-Pop.1,
Homo sapiens,Mammalia,CHM13,SAMN03255769,PRJNA481779,GCA_003709615.1,Contig,836.511,43.5,,QPKM01,14398,0,11/2/2018,930,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/615/GCA_003709615.1_CHM13_EEE_SV-Pop.1,
Homo sapiens,Mammalia,HG00514,SAMN04229552,PRJNA481779,GCA_003709625.1,Contig,957.673,43.6,,QVRB01,17169,0,11/2/2018,931,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/625/GCA_003709625.1_HG00514_EEE_SV-Pop.1,
Homo sapiens,Mammalia,NA19240,SAMN03838746,PRJNA481779,GCA_003709685.1,Contig,947.147,43.5,,QVRD01,18379,0,11/2/2018,932,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/685/GCA_003709685.1_NA19240_EEE_SV-Pop.1,
Homo sapiens,Mammalia,HG00733,SAMN04229548,PRJNA481779,GCA_003709675.1,Contig,819.663,43.5,,QVRC01,16269,0,11/2/2018,933,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/709/675/GCA_003709675.1_HG00733_EEE_SV-Pop.1,
Takifugu flavidus,Osteichthyes,HTHZ2018,SAMN10077091,PRJNA491395,GCA_003711565.2, Chromosome,366.287,45.623,chromosome 1:CM011069.1; chromosome 2:CM011070.1; chromosome 3:CM011071.1; chromosome 4:CM011072.1; chromosome 5:CM011073.1; chromosome 6:CM011074.1; chromosome 7:CM011075.1; chromosome 8:CM011076.1; chromosome 9:CM011077.1; chromosome 10:CM011078.1; chromosome 11:CM011079.1; chromosome 12:CM011080.1; chromosome 13:CM011081.1; chromosome 14:CM011082.1; chromosome 15:CM011083.1; chromosome 16:CM011084.1; chromosome 17:CM011085.1; chromosome 18:CM011086.1; chromosome 19:CM011087.2; chromosome 20:CM011088.1; chromosome 21:CM011089.1; chromosome 22:CM011090.1,RHFK02,867,29408,11/5/2018,934,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/565/GCA_003711565.2_ASM371156v2,
Larimichthys crocea,Osteichthyes,JMULYC20181020,SAMN10077518,PRJNA491413,GCA_003711585.2, Chromosome,744.27,41.4728,chromosome I:CM011650.2; chromosome II:CM011651.2; chromosome III:CM011652.2; chromosome IV:CM011653.2; chromosome V:CM011654.2; chromosome VI:CM011655.2; chromosome VII:CM011656.2; chromosome VIII:CM011657.2; chromosome IX:CM011658.2; chromosome X:CM011659.2; chromosome XI:CM011660.2; chromosome XII:CM011661.2; chromosome XIII:CM011662.2; chromosome XIV:CM011663.2; chromosome XV:CM011664.2; chromosome XVI:CM011665.2; chromosome XVII:CM011666.2; chromosome XVIII:CM011667.2; chromosome XIX:CM011668.2; chromosome XX:CM011669.2; chromosome XXI:CM011670.2; chromosome XXII:CM011671.2; chromosome XXIII:CM011672.2; chromosome XXIV:CM011673.2,REGW02,2698,24283,11/5/2018,935,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/585/GCA_003711585.2_ASM371158v2,
Paradisaea rubra,Aves,F686,SAMN10096786,PRJNA491255,GCA_003713215.1,Scaffold,1071.26,41.6,,RAHL01,4376,0,11/6/2018,936,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/215/GCA_003713215.1_ParRub_1.0,
Diphyllodes magnificus,Aves,F569,SAMN10096783,PRJNA491255,GCA_003713285.1,Scaffold,1065.98,41.5,,RAHO01,3098,0,11/6/2018,937,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/285/GCA_003713285.1_DipMag_1.0,
Parotia lawesii,Aves,F631,SAMN10096785,PRJNA491255,GCA_003713295.1,Scaffold,1056.92,42,,RAHM01,3976,0,11/6/2018,938,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/295/GCA_003713295.1_ParLaw_1.0,
Cicinnurus regius,Aves,F628,SAMN10096784,PRJNA491255,GCA_003713305.1,Scaffold,1059.54,41.8,,RAHN01,4390,0,11/6/2018,939,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/305/GCA_003713305.1_CicReg_1.0,
Paradisaea raggiana,Aves,B10K-DU-002-22,SAMN10096787,PRJNA491255,GCA_003713265.1,Scaffold,1037.51,41.9,,RAHK01,6544,0,11/6/2018,940,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/265/GCA_003713265.1_ParRag_1.0,
Trachinotus ovatus,Osteichthyes,,SAMEA104304870,PRJEB22654,GCA_900607315.1,Scaffold,648.062,41.1,,UWUD01,138,0,11/9/2018,941,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/607/315/GCA_900607315.1_golden_pompano_genome_assembly_version_2,
Tachysurus fulvidraco,Osteichthyes,Tf-2017,SAMN10147840,PRJNA506049,GCA_003724035.1,Scaffold,713.811,39.6001,mitochondrion MT:NC_015888.1/,REGT01,663,47176,11/13/2018,942,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/724/035/GCA_003724035.1_ASM372403v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/724/035/GCF_003724035.1_ASM372403v1
Anabarilius grahami,Osteichthyes,AG-KIZ,SAMN09469597,PRJNA477399,GCA_003731715.1,Scaffold,991.887,36.7,,RJVU01,80398,23906,11/15/2018,943,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/731/715/GCA_003731715.1_BGI_Agra_1.0,
Axis porcinus,Mammalia,Zoohd001,SAMN09386826,PRJNA475327,GCA_003798545.1,Scaffold,2676.16,41,,QQTR01,136093,0,11/20/2018,944,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/545/GCA_003798545.1_ASM379854v1,
Nibea albiflora,Osteichthyes,,SAMEA1067819,PRJEB24302,GCA_900327885.1,Scaffold,574.466,0,,OOII01,11977,0,11/22/2018,945,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/327/885/GCA_900327885.1_Nibea_albiflora_v1.0,
