Organism Groups,AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmissionYear,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample,GenBank assembly accession,RefSeq assembly accession,sequencing_tech,long_reads
Mammalia,GCA_001624865.1,Mus spretus (western wild mouse),Mus spretus,60,4/26/2016,2016,Wellcome Trust Sanger Institute,17887,131945496,SAMN04489830,NA,NA,NA,NA
Mammalia,GCA_000772465.1,Nasalis larvatus (proboscis monkey),Nasalis larvatus,290,11/10/2014,2014,Proboscis Monkey Functional Genome Consortium,13295,137426304,SAMN02689222,NA,NA,NA,NA
Mammalia,GCA_003704135.2,Peromyscus polionotus subgriseus (oldfield mouse),Peromyscus polionotus,290,4/26/2019,2019,Harvard University / Howard Hughes Medical Institute,13217,117603569,SAMN10150432,NA,NA,NA,NA
Mammalia,GCA_002197005.1,Cervus elaphus hippelaphus (red deer),Cervus elaphus,74,6/19/2017,2017,National Agricultural Research and Innovation Centre,7944,107358006,SAMN05196248,NA,NA,NA,NA
Mammalia,GCA_001887905.1,Lycaon pictus (African hunting dog),Lycaon pictus,5.7,12/1/2016,2016,Smithsonian Institution,5555,63240551,SAMN04312208,NA,NA,NA,NA
Mammalia,GCF_002201575.1,Neomonachus schauinslandi (Hawaiian monk seal),Neomonachus schauinslandi,61,6/20/2017,2017,Johns Hopkins University,112698,29518589,SAMN06841387,NA,NA,NA,NA
Mammalia,GCF_000164845.3,Vicugna pacos (alpaca),Vicugna pacos,260,7/15/2019,2019,Deakin University,29536,24022313,SAMN01096418,NA,NA,NA,NA
Mammalia,GCA_014849445.1,Cercopithecus mona (Mona monkey),Cercopithecus mona,54,10/5/2020,2020,"Kunming Institute of Zoology, Chinese Academy of Sciences",22791723,22791723,SAMN13555793,NA,NA,NA,NA
Mammalia,GCF_014108415.1,Molossus molossus (Pallas's mastiff bat),Molossus molossus,58.3,8/7/2020,2020,Bat1K,22174888,110665204,SAMN14734448,NA,NA,NA,NA
Mammalia,GCF_014176215.1,Rousettus aegyptiacus (Egyptian rousette),Rousettus aegyptiacus,64.6,8/7/2020,2020,Bat1K,21999313,113811795,SAMN14734550,NA,NA,NA,NA
Mammalia,GCF_009764315.1,Trachypithecus francoisi (Francois's langur),Trachypithecus francoisi,1,12/18/2019,2019,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",16182741,130977661,SAMN12630612,NA,NA,NA,NA
Mammalia,GCF_014108235.1,Myotis myotis (bats),Myotis myotis,90.9,8/7/2020,2020,Bat1K,12511134,94448911,SAMN14734277,NA,NA,NA,NA
Mammalia,GCF_002099425.1,Phascolarctos cinereus (koala),Phascolarctos cinereus,57.3,4/18/2017,2017,The Earlham Institute,11587828,11587828,SAMN06198159,NA,NA,NA,NA
Mammalia,GCF_014108245.1,Pipistrellus kuhlii (Kuhl's pipistrelle),Pipistrellus kuhlii,80.8,8/7/2020,2020,Bat1K,10591995,80237350,SAMN14734388,NA,NA,NA,NA
Mammalia,GCA_003508835.1,Eonycteris spelaea (lesser dawn bat),Eonycteris spelaea,80,9/7/2018,2018,Duke-NUS Medical School,8002591,8002591,SAMN08225740,NA,NA,NA,NA
Mammalia,GCF_014898055.1,Talpa occidentalis (Iberian mole),Talpa occidentalis,50,10/19/2020,2020,Max Planck Institute for Molecular Genetics,2611711,119794413,SAMN10160270,NA,NA,NA,NA
Mammalia,GCF_014824575.1,Sturnira hondurensis (bats),Sturnira hondurensis,158,9/30/2020,2020,College of Life Sciences at Wuhan University,2136421,10164808,SAMN12282880,NA,NA,NA,NA
Mammalia,GCA_902825105.1,Syncerus caffer (African buffalo),Syncerus caffer,60,4/2/2020,2020,UNIVERSITY OF EDINBURGH,2018310,69160875,SAMEA6520500,NA,NA,NA,NA
Mammalia,GCA_903231385.1,Ovis nivicola lydekkeri (snow sheep),Ovis nivicola,19,6/16/2020,2020,LMU Munich,1765443,2011554,SAMEA6833340,NA,NA,NA,NA
Mammalia,GCA_014533835.1,Marmota monax (woodchuck),Marmota monax,147,9/14/2020,2020,Johns Hopkins University,1094236,1094236,SAMN13176033,NA,NA,NA,NA
Mammalia,GCF_012393455.1,Halichoerus grypus (gray seal),Halichoerus grypus,39,4/15/2020,2020,Cummings School of Veterinary Medicine at Tufts University,1011981,1033864,SAMN13022322,NA,NA,NA,NA
Mammalia,GCF_015252025.1,Chlorocebus sabaeus (green monkey),Chlorocebus sabaeus,75,11/6/2020,2020,"Viral Vectors and Vaccines Bioprocessing Group, McGill University",839654,81790585,SAMN15458746,NA,NA,NA,NA
Mammalia,GCF_010015895.1,Lontra canadensis (Northern American river otter),Lontra canadensis,40,1/27/2020,2020,Canada's Genomic Enterprise,691969,18460785,SAMN13049247,NA,NA,NA,NA
Mammalia,GCA_011316645.1,Cynomys gunnisoni (Gunnison's prairie dog),Cynomys gunnisoni,67,3/16/2020,2020,Smithsonian Herndon Data Center,687762,824613,SAMN12831216,NA,NA,NA,NA
Mammalia,GCA_900642305.1,Arctocephalus gazella (antarctic fur seal),Arctocephalus gazella,15000,2/8/2019,2019,LMU,537425,139181869,SAMEA4666125,NA,NA,NA,NA
Mammalia,GCA_011680675.1,Gymnobelideus leadbeateri (Leadbeater's possum),Gymnobelideus leadbeateri,100,3/23/2020,2020,Deakin University,500778,502495,SAMN13475009,NA,NA,NA,NA
Mammalia,GCA_014363405.1,Pteropus pselaphon (Bonin flying fox),Pteropus pselaphon,119,8/23/2020,2020,"Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies",394964,770409,SAMD00237435,NA,NA,NA,NA
Mammalia,GCA_006410555.1,Capra ibex (Alpine ibex),Capra ibex,207,6/24/2019,2019,Northwestern Polytechnical University,380983,61905114,SAMN08714504,NA,NA,NA,NA
Mammalia,GCA_003182615.2,Capra sibirica (Siberian ibex),Capra sibirica,217,10/30/2018,2018,Northwest A&F University,376582,15190720,SAMN06233877,NA,NA,NA,NA
Mammalia,GCF_014825515.1,Artibeus jamaicensis (Jamaican fruit-eating bat),Artibeus jamaicensis,202,9/30/2020,2020,College of Life Sciences at Wuhan University,374929,2589479,SAMN12273914,NA,NA,NA,NA
Mammalia,GCA_014754425.1,Oryx dammah (scimitar-horned oryx),Oryx dammah,120,9/25/2020,2020,Smithsonian Conservation Biology Institute,373369,100398400,SAMN14518290,NA,NA,NA,NA
Mammalia,GCA_013239625.1,Lama guanicoe cacsilensis (guanaco),Lama guanicoe,129.1,6/2/2020,2020,Shanxi Agricultural University,343812,14786206,SAMN08242136,NA,NA,NA,NA
Mammalia,GCA_013265495.1,Vicugna vicugna mensalis (vicugna),Vicugna vicugna,108.53,6/2/2020,2020,Shanxi Agricultural University,340839,6158010,SAMN08274813,NA,NA,NA,NA
Mammalia,GCA_004027375.1,Macroglossus sobrinus (bats),Macroglossus sobrinus,52.7,1/16/2019,2019,Broad Institute,338389,453401,SAMN07678028,NA,NA,NA,NA
Mammalia,GCF_006547405.1,Globicephala melas (long-finned pilot whale),Globicephala melas,36,7/1/2019,2019,Canada's Genomic Enterprise,332801,18102937,SAMN11083132,NA,NA,NA,NA
Mammalia,GCF_003584765.1,Ursus arctos horribilis (brown bear),Ursus arctos,50,9/20/2018,2018,Canada's Genomic Enterprise,314844,36708181,SAMN09907428,NA,NA,NA,NA
Mammalia,GCA_003009895.1,Hyaena hyaena (striped hyena),Hyaena hyaena,56,3/19/2018,2018,Potsdam University,311202,2001327,SAMN07212965,NA,NA,NA,NA
Mammalia,GCA_004027145.1,Daubentonia madagascariensis (aye-aye),Daubentonia madagascariensis,76.4,1/16/2019,2019,Broad Institute,298834,379919,SAMN07678077,NA,NA,NA,NA
Mammalia,GCF_004348235.1,Phoca vitulina (harbor seal),Phoca vitulina,45,2/11/2019,2019,Canada's Genome Enterprise (CGEN),283887,41024070,SAMN10150265,NA,NA,NA,NA
Mammalia,GCF_001984765.1,Castor canadensis (American beaver),Castor canadensis,110,2/4/2017,2017,Hospital for Sick Children,273954,317708,SAMN06187566,NA,NA,NA,NA
Mammalia,GCF_009828535.2,Hylobates moloch (silvery gibbon),Hylobates moloch,70,2/13/2020,2020,"University of California, Santa Cruz",265822,125196221,SAMN12851060,NA,NA,NA,NA
Mammalia,GCF_003676395.1,Lagenorhynchus obliquidens (Pacific white-sided dolphin),Lagenorhynchus obliquidens,35.68,10/23/2018,2018,Canada's Genomic Enterprise,255779,28371583,SAMN09386610,NA,NA,NA,NA
Mammalia,GCA_902729225.1,Pteropus giganteus (Indian flying fox),Pteropus giganteus,63,4/15/2020,2020,CIRI-Inserm-U1111,255763,18871253,SAMEA5634742,NA,NA,NA,NA
Mammalia,GCF_005190385.1,Monodon monoceros (narwhal),Monodon monoceros,42,5/6/2019,2019,The Narwhal Genome Initiative,255327,107566389,SAMN10872456,NA,NA,NA,NA
Mammalia,GCF_002288905.1,Enhydra lutris kenyoni (sea otter),Enhydra lutris,110,9/11/2017,2017,BC Cancer Agency,244548,38751465,SAMN07211055,NA,NA,NA,NA
Mammalia,GCF_004028035.1,Eumetopias jubatus (Steller sea lion),Eumetopias jubatus,34.65,1/15/2019,2019,Canada's Genomic Enterprise,242372,14018600,SAMN09402722,NA,NA,NA,NA
Mammalia,GCA_016433095.1,Hippotragus equinus (roan antelope),Hippotragus equinus,40,12/29/2020,2020,"CIBIO, University of Porto",237164,8357620,SAMN16987477,NA,NA,NA,NA
Mammalia,GCA_004363575.1,Solenodon paradoxus (Hispaniolan solenodon),Solenodon paradoxus,29.3,3/22/2019,2019,Broad Institute,236847,407682,SAMN07678062,NA,NA,NA,NA
Mammalia,GCA_014898785.1,Rangifer tarandus granti (reindeer),Rangifer tarandus,68,10/20/2020,2020,Louisiana State University,231342,9347320,SAMN15639372,NA,NA,NA,NA
Mammalia,GCA_004024905.1,Tapirus indicus (Asiatic tapir),Tapirus indicus,41.4,1/15/2019,2019,Broad Institute,225792,308930,SAMN07678113,NA,NA,NA,NA
Mammalia,GCA_004027205.1,Ctenodactylus gundi (northern gundi),Ctenodactylus gundi,51,1/16/2019,2019,Broad Institute,218543,354548,SAMN07678018,NA,NA,NA,NA
Mammalia,GCA_003227395.1,Tursiops aduncus (Indo-pacific bottlenose dolphin),Tursiops aduncus,180,6/14/2018,2018,Ewha Womans University,206065,1235788,SAMN06289673,NA,NA,NA,NA
Mammalia,GCF_011800145.1,Mirounga leonina (Southern elephant seal),Mirounga leonina,100,3/31/2020,2020,Earth Biogenome Project,197952,54232831,SAMN13282320,NA,NA,NA,NA
Mammalia,GCF_002288925.2,Delphinapterus leucas (beluga whale),Delphinapterus leucas,117,8/29/2019,2019,BC Cancer Agency,196689,31183418,SAMN06216270,NA,NA,NA,NA
Mammalia,GCA_004023785.1,Mungos mungo (banded mongoose),Mungos mungo,46.7,1/15/2019,2019,Broad Institute,180702,236501,SAMN07678097,NA,NA,NA,NA
Mammalia,GCF_003709585.1,Acinonyx jubatus (cheetah),Acinonyx jubatus,71.74,10/22/2018,2018,Felidae consortium,179924,48500042,SAMN09699341,NA,NA,NA,NA
Mammalia,GCA_003798545.1,Axis porcinus (Hog deer),Axis porcinus,197,11/20/2018,2018,Novogene Bioinformatics Technology Corporation,172761,20764858,SAMN09386826,NA,NA,NA,NA
Mammalia,GCA_004025025.1,Tapirus terrestris (Brazilian tapir),Tapirus terrestris,44.2,1/15/2019,2019,Broad Institute,164193,186384,SAMN07678114,NA,NA,NA,NA
Mammalia,GCA_004024665.1,Lemur catta (Ring-tailed lemur),Lemur catta,56,1/15/2019,2019,Broad Institute,158439,215715,SAMN07678092,NA,NA,NA,NA
Mammalia,GCF_014570555.1,Manis pentadactyla (Chinese pangolin),Manis pentadactyla,281.6,9/15/2020,2020,Yunnan University,151937,7836868,SAMN11464812,NA,NA,NA,NA
Mammalia,GCA_003121645.1,Ovis ammon (argali),Ovis ammon,168,5/11/2018,2018,Northwest A&F University,151569,72289505,SAMN06233880,NA,NA,NA,NA
Mammalia,GCA_009660055.1,Ursus thibetanus thibetanus (Asiatic black bear),Ursus thibetanus,90.61,11/13/2019,2019,Northwestern Polytechnical University,145966,26803000,SAMN12818422,NA,NA,NA,NA
Mammalia,GCF_009761245.1,Sapajus apella (Tufted capuchin),Sapajus apella,34,12/17/2019,2019,Canada's Genomic Enterprise,144042,23742480,SAMN13265339,NA,NA,NA,NA
Mammalia,GCF_003676075.2,Marmota flaviventris (yellow-bellied marmot),Marmota flaviventris,45,5/24/2019,2019,Canada's Genomic Enterprise,143681,11407078,SAMN10078668,NA,NA,NA,NA
Mammalia,GCA_004027475.1,Anoura caudifer (tailed tailless bat),Anoura caudifer,52.5,1/16/2019,2019,Broad Institute,143417,185021,SAMN07678033,NA,NA,NA,NA
Mammalia,GCA_004026545.1,Mormoops blainvillei (Antillean ghost-faced bat),Mormoops blainvillei,32.8,1/16/2019,2019,Broad Institute,142682,156292,SAMN07678133,NA,NA,NA,NA
Mammalia,GCA_004024845.1,Tonatia saurophila (stripe-headed round-eared bat),Tonatia saurophila,46.1,1/15/2019,2019,Broad Institute,141649,165561,SAMN07678031,NA,NA,NA,NA
Mammalia,GCF_000767855.1,Camelus bactrianus (Bactrian camel),Camelus bactrianus,79.2,10/23/2014,2014,"Inner Mongolia Agricultural University, P.R.China",139067,8812066,SAMN02953968,NA,NA,NA,NA
Mammalia,GCA_006408755.1,Eudorcas thomsonii (Thomson's gazelle),Eudorcas thomsonii,263,6/24/2019,2019,Northwestern Polytechnical University,137476,1581717,SAMN08714486,NA,NA,NA,NA
Mammalia,GCA_004026585.1,Noctilio leporinus (greater bulldog bat),Noctilio leporinus,42.9,1/16/2019,2019,Broad Institute,135651,191494,SAMN07678134,NA,NA,NA,NA
Mammalia,GCF_003265705.1,Callorhinus ursinus (northern fur seal),Callorhinus ursinus,27.44,6/26/2018,2018,Canada's Genomics Enterprise,133024,31506801,SAMN09379881,NA,NA,NA,NA
Mammalia,GCA_006459105.1,Hydropotes inermis (Chinese water deer),Hydropotes inermis,76,6/25/2019,2019,Northwestern Polytechnical University,131446,13818975,SAMN10176374,NA,NA,NA,NA
Mammalia,GCA_004023885.1,Cryptoprocta ferox (fossa),Cryptoprocta ferox,46.3,1/15/2019,2019,Broad Institute,128639,173473,SAMN07678074,NA,NA,NA,NA
Mammalia,GCF_000952055.2,Aotus nancymaae (Ma's night monkey),Aotus nancymaae,132.4,6/9/2017,2017,Baylor College of Medicine,126456,8268663,SAMN03121886,NA,NA,NA,NA
Mammalia,GCF_002102435.1,Odocoileus virginianus texanus (white-tailed deer),Odocoileus virginianus,150,4/20/2017,2017,Baylor College of Medicine,122019,850721,SAMN05363940,NA,NA,NA,NA
Mammalia,GCA_011751065.1,Aeorestes cinereus (hoary bat),Aeorestes cinereus,42,3/25/2020,2020,United States Geological Survey,120638,35075546,SAMN13850695,NA,NA,NA,NA
Mammalia,GCA_006547115.1,Erethizon dorsatum (North American porcupine),Erethizon dorsatum,25,7/1/2019,2019,Canada's Genomic Enterprise,118744,16680019,SAMN10984256,NA,NA,NA,NA
Mammalia,GCA_007760645.1,Sousa chinensis (Indo-pacific humpbacked dolphin),Sousa chinensis,283,7/31/2019,2019,BGI-SZ,113766,19436979,SAMN10523266,NA,NA,NA,NA
Mammalia,GCA_004023845.1,Helogale parvula (dwarf mongoose),Helogale parvula,32.3,1/15/2019,2019,Broad Institute,113567,179119,SAMN07678086,NA,NA,NA,NA
Mammalia,GCA_004115125.1,Odocoileus hemionus hemionus (mule deer),Odocoileus hemionus,25,1/30/2019,2019,University of Alberta,113295,838758,SAMN07977136,NA,NA,NA,NA
Mammalia,GCF_900497805.2,Vombatus ursinus (common wombat),Vombatus ursinus,87,12/10/2018,2018,"MRC Institute of Genetics and Molecular Medicine, University of Edinburgh",113054,28503419,SAMEA4791334,NA,NA,NA,NA
Mammalia,GCF_000955945.1,Cercocebus atys (sooty mangabey),Cercocebus atys,192,3/19/2015,2015,Human Genome Sequencing Center - BCM,112942,12849131,SAMN03379531,NA,NA,NA,NA
Mammalia,GCA_013239585.1,Lama glama chaku (llama),Lama glama,101.97,6/2/2020,2020,Shanxi Agricultural University,111519,3269186,SAMN08141935,NA,NA,NA,NA
Mammalia,GCF_000956065.1,Macaca nemestrina (pig-tailed macaque),Macaca nemestrina,113.1,3/19/2015,2015,Baylor College of Medicine,106897,15219753,SAMN03121842,NA,NA,NA,NA
Mammalia,GCA_009823505.1,Rhizomys pruinosus (hoary bamboo rat),Rhizomys pruinosus,205,12/31/2019,2019,Chinese Academy of Sciences,103291,2203772,SAMN12815341,NA,NA,NA,NA
Mammalia,GCA_005280165.1,Marmota himalayana (Himalayan marmot),Marmota himalayana,206,5/10/2019,2019,Xian Jiaotong University Health Science Center,102162,1497034,SAMN07661221,NA,NA,NA,NA
Mammalia,GCA_014898765.1,Puma yagouaroundi (jaguarundi),Puma yagouaroundi,37,10/20/2020,2020,Felidae consortium,100211,49273425,SAMN14930875,NA,NA,NA,NA
Mammalia,GCA_002007465.1,Ailurus fulgens styani (lesser panda),Ailurus fulgens,115.5,2/28/2017,2017,"Institute of Zoology, Chinese Academy of Sciences",99577,2983736,SAMN04169031,NA,NA,NA,NA
Mammalia,GCA_900661375.1,Lynx pardinus (Spanish lynx),Lynx pardinus,135,3/28/2019,2019,CNAG,99542,1519745,SAMEA3862495,NA,NA,NA,NA
Mammalia,GCA_008692635.1,Crocuta crocuta (spotted hyena),Crocuta crocuta,95.2,10/7/2019,2019,BGI,97873,7236831,SAMN12283067,NA,NA,NA,NA
Mammalia,GCA_003118495.1,Macaca fuscata fuscata (Japanese macaque),Macaca fuscata,42,4/4/2018,2018,National Institutes of Natural Sciences,94905,94905,SAMD00113013,NA,NA,NA,NA
Mammalia,GCF_000283155.1,Ceratotherium simum simum (southern white rhinoceros),Ceratotherium simum,91,7/31/2012,2012,Broad Institute,92960,26277727,SAMN00778988,NA,NA,NA,NA
Mammalia,GCF_003426925.1,Urocitellus parryii (Arctic ground squirrel),Urocitellus parryii,40,8/24/2018,2018,UAF,91013,3964291,SAMN09469529,NA,NA,NA,NA
Mammalia,GCA_004024605.1,Pteronura brasiliensis (giant otter),Pteronura brasiliensis,47.7,1/15/2019,2019,Broad Institute,90879,119023,SAMN07678049,NA,NA,NA,NA
Mammalia,GCA_014885135.1,Microtus fortis (reed vole),Microtus fortis,108,10/13/2020,2020,"Shanghai Institute for Biological Sciences, Chinese Academy of Sciences",90682,9992017,SAMN07276871,NA,NA,NA,NA
Mammalia,GCF_000321225.1,Odobenus rosmarus divergens (Pacific walrus),Odobenus rosmarus,200,1/16/2013,2013,Marine mammals,89951,2616778,SAMN01180787,NA,NA,NA,NA
Mammalia,GCF_003031525.1,Neophocaena asiaeorientalis asiaeorientalis (Yangtze finless porpoise),Neophocaena asiaeorientalis,106,4/3/2018,2018,Nanjing normal university,86003,6341296,SAMN05831577,NA,NA,NA,NA
Mammalia,GCF_014570535.1,Manis javanica (Malayan pangolin),Manis javanica,411.8,9/15/2020,2020,Yunnan University,83964,13854118,SAMN11464811,NA,NA,NA,NA
Mammalia,GCA_004026525.1,Miniopterus schreibersii (Schreibers' long-fingered bat),Miniopterus schreibersii,24.8,1/16/2019,2019,Broad Institute,82539,108707,SAMN07678147,NA,NA,NA,NA
Mammalia,GCA_006408695.1,Aepyceros melampus (impala),Aepyceros melampus,201,6/24/2019,2019,Northwestern Polytechnical University,82459,344542,SAMN08714480,NA,NA,NA,NA
Mammalia,GCA_004027575.1,Cricetomys gambianus (Gambian giant pouched rat),Cricetomys gambianus,36.7,1/16/2019,2019,Broad Institute,80761,110049,SAMN07678025,NA,NA,NA,NA
Mammalia,GCF_000151735.1,Cavia porcellus (domestic guinea pig),Cavia porcellus,6.8,3/3/2008,2008,"The Genome Sequencing Platform, The Genome Assembly Team",80583,27942054,SAMN02981223,NA,NA,NA,NA
Mammalia,GCA_012922965.1,Capreolus pygargus (Eastern roe deer),Capreolus pygargus,100,4/28/2020,2020,Northwestern Polytechnical University,80310,6067221,SAMN11098812,NA,NA,NA,NA
Mammalia,GCF_002940915.1,Desmodus rotundus (common vampire bat),Desmodus rotundus,94,2/23/2018,2018,University of Copenhagen,80250,26869735,SAMN07783852,NA,NA,NA,NA
Mammalia,GCA_004024965.2,Tragulus javanicus (Java mouse-deer),Tragulus javanicus,54.2,7/15/2019,2019,Broad Institute,80230,14082842,SAMN07678116,NA,NA,NA,NA
Mammalia,GCA_004027065.2,Hippopotamus amphibius (hippopotamus),Hippopotamus amphibius,77,7/15/2019,2019,Broad Institute,76609,4444377,SAMN07678089,NA,NA,NA,NA
Mammalia,GCA_002215935.2,Psammomys obesus (fat sand rat),Psammomys obesus,87.6,2/10/2020,2020,"Department of Zoology, University of Oxford, UK",76389,10472398,SAMN06061930,NA,NA,NA,NA
Mammalia,GCA_014332765.1,Elephas maximus (Asiatic elephant),Elephas maximus,94.4,8/28/2020,2020,University of Utah,76227,2767252,SAMN14648705,NA,NA,NA,NA
Mammalia,GCA_902729475.1,Mus minutoides (Southern African pygmy mouse),Mus minutoides,80,9/25/2020,2020,"INSTITUT DES SCIENCES DE L'EVOLUTION DE MONTPELLIER, UNIVERSITE DE MONTPELLIER, CNRS-EPHE-IRD-UM",75529,6711675,SAMEA6377510,NA,NA,NA,NA
Mammalia,GCA_902806735.1,Myodes glareolus (Bank vole),Myodes glareolus,50,2/22/2020,2020,LIV,74950,20649317,SAMEA5971946,NA,NA,NA,NA
Mammalia,GCA_004023825.1,Vulpes lagopus (Arctic fox),Vulpes lagopus,36.8,1/15/2019,2019,Broad Institute,73976,102053,SAMN07678118,NA,NA,NA,NA
Mammalia,GCA_004026605.1,Ondatra zibethicus (muskrat),Ondatra zibethicus,43.9,1/16/2019,2019,Broad Institute,73746,89093,SAMN07678059,NA,NA,NA,NA
Mammalia,GCA_008750895.1,Mirza zaza (primates),Mirza zaza,44,9/30/2019,2019,Duke University,73499,75843,SAMN10707785,NA,NA,NA,NA
Mammalia,GCA_004024925.1,Scalopus aquaticus (eastern mole),Scalopus aquaticus,46.1,1/15/2019,2019,Broad Institute,72421,94879,SAMN07678045,NA,NA,NA,NA
Mammalia,GCA_004026885.1,Megaderma lyra (Indian false vampire),Megaderma lyra,49.8,1/16/2019,2019,Broad Institute,71674,96489,SAMN07678029,NA,NA,NA,NA
Mammalia,GCA_014189135.1,Dicerorhinus sumatrensis harrissoni (Sumatran rhinoceros),Dicerorhinus sumatrensis,38,8/14/2020,2020,Swedish Museum of Natural History,70892,54482381,SAMN15164313,NA,NA,NA,NA
Mammalia,GCA_006408615.1,Connochaetes taurinus (brindled gnu),Connochaetes taurinus,216,6/24/2019,2019,Northwestern Polytechnical University,70608,366224,SAMN08714482,NA,NA,NA,NA
Mammalia,GCF_000331955.2,Orcinus orca (killer whale),Orcinus orca,200,1/31/2013,2013,Marine mammals,70300,12735091,SAMN01180276,NA,NA,NA,NA
Mammalia,GCF_000001905.1,Loxodonta africana (African savanna elephant),Loxodonta africana,0,7/15/2009,2009,Broad Institute,69023,46401353,SAMN02953622,NA,NA,NA,NA
Mammalia,GCA_004025045.1,Sigmodon hispidus (hispid cotton rat),Sigmodon hispidus,43.2,1/15/2019,2019,Broad Institute,67983,101373,SAMN07678138,NA,NA,NA,NA
Mammalia,GCA_014926565.1,Kobus leche leche (lechwe),Kobus leche,192.96,10/23/2020,2020,Kunming Institute of Zoology,66923,3233651,SAMN13832371,NA,NA,NA,NA
Mammalia,GCF_001305755.1,Equus asinus (ass),Equus asinus,42.4,10/2/2015,2015,Inner Mongolian Agricultural University,66737,3776412,SAMN03010633,NA,NA,NA,NA
Mammalia,GCA_004026825.1,Hemitragus hylocrius (Nilgiri tahr),Hemitragus hylocrius,29.4,1/16/2019,2019,Broad Institute,66552,85340,SAMN07678087,NA,NA,NA,NA
Mammalia,GCA_001458135.2,Marmota marmota marmota (Alpine marmot),Marmota marmota,43,12/18/2019,2019,MRC NATIONAL INSTITUTE FOR MEDICAL RESEARCH,66546,31340621,SAMEA3214822,NA,NA,NA,NA
Mammalia,GCA_004024745.2,Catagonus wagneri (Chacoan peccary),Catagonus wagneri,87.1,7/15/2019,2019,Broad Institute,65965,19204659,SAMN07678067,NA,NA,NA,NA
Mammalia,GCA_004027695.1,Cavia tschudii (Montane guinea pig),Cavia tschudii,34.8,1/16/2019,2019,Broad Institute,64807,91436,SAMN07678017,NA,NA,NA,NA
Mammalia,GCA_004027595.1,Dinomys branickii (pacarana),Dinomys branickii,31.9,1/16/2019,2019,Broad Institute,64805,77918,SAMN07678079,NA,NA,NA,NA
Mammalia,GCA_000164785.2,Choloepus hoffmanni (Hoffmann's two-fingered sloth),Choloepus hoffmanni,65,9/30/2014,2014,"The Genome Institute, Washington University School of Medicine",64490,366442,SAMN02146716,NA,NA,NA,NA
Mammalia,GCF_000147115.1,Myotis lucifugus (little brown bat),Myotis lucifugus,7,9/14/2010,2010,Broad Institute,64330,4293315,SAMN02953645,NA,NA,NA,NA
Mammalia,GCA_902702925.1,Peromyscus eremicus (cactus mouse),Peromyscus eremicus,50,11/26/2019,2019,UNIVERSITY OF NEW HAMPSHIRE,64291,119957392,SAMEA5799953,NA,NA,NA,NA
Mammalia,GCA_004024805.1,Xerus inauris (South African ground squirrel),Xerus inauris,24.4,1/15/2019,2019,Broad Institute,64054,83865,SAMN07678119,NA,NA,NA,NA
Mammalia,GCA_004026645.1,Pithecia pithecia (white-faced saki),Pithecia pithecia,47.3,1/16/2019,2019,Broad Institute,63292,83104,SAMN07678106,NA,NA,NA,NA
Mammalia,GCA_004023965.1,Spilogale gracilis (western spotted skunk),Spilogale gracilis,33.2,1/15/2019,2019,Broad Institute,63054,85970,SAMN07678050,NA,NA,NA,NA
Mammalia,GCA_004026765.1,Micronycteris hirsuta (bats),Micronycteris hirsuta,39.4,1/16/2019,2019,Broad Institute,62961,68868,SAMN07678146,NA,NA,NA,NA
Mammalia,GCA_004024585.1,Paradoxurus hermaphroditus (Asian palm civet),Paradoxurus hermaphroditus,36.9,1/15/2019,2019,Broad Institute,62870,71823,SAMN07678048,NA,NA,NA,NA
Mammalia,GCA_004026845.1,Heterohyrax brucei (yellow-spotted hyrax),Heterohyrax brucei,24.4,1/16/2019,2019,Broad Institute,62841,67904,SAMN07678088,NA,NA,NA,NA
Mammalia,GCA_004023805.1,Panthera onca (jaguar),Panthera onca,60.7,1/15/2019,2019,Broad Institute,62836,116574,SAMN07678103,NA,NA,NA,NA
Mammalia,GCA_006410535.1,Litocranius walleri (gerenuk),Litocranius walleri,192,6/24/2019,2019,Northwestern Polytechnical University,62351,3126223,SAMN08714484,NA,NA,NA,NA
Mammalia,GCA_012583365.1,Martes zibellina (sable),Martes zibellina,114,4/20/2020,2020,Novogene,62196,5199373,SAMN10226813,NA,NA,NA,NA
Mammalia,GCA_004027515.2,Antilocapra americana (pronghorn),Antilocapra americana,49.3,7/15/2019,2019,Broad Institute,61698,18845065,SAMN07678063,NA,NA,NA,NA
Mammalia,GCA_006410635.1,Cephalophus harveyi (Harvey's duiker),Cephalophus harveyi,171,6/24/2019,2019,Northwestern Polytechnical University,61368,365466,SAMN08714507,NA,NA,NA,NA
Mammalia,GCF_000276665.1,Chinchilla lanigera (long-tailed chinchilla),Chinchilla lanigera,87,8/28/2012,2012,Broad Institute,61105,21893125,SAMN00632093,NA,NA,NA,NA
Mammalia,GCA_004024645.1,Mirza coquereli (Coquerel's mouse lemur),Mirza coquereli,60.7,1/15/2019,2019,Broad Institute,60596,79947,SAMN07678095,NA,NA,NA,NA
Mammalia,GCA_002443075.1,Elaphurus davidianus (Pere David's deer),Elaphurus davidianus,114,10/4/2017,2017,Nanjing Normal University,59950,2844142,SAMN03020601,NA,NA,NA,NA
