Organism Groups,accession,submission_date,year,ReleaseOrder,sequence_length,organism
Amphibia,AY974191,1-Oct-2005,2005,1045,18293,Limnonectes fujianensis
Amphibia,NC_007446,5-Oct-2005,2005,1046,16298,Andrias japonicus
Amphibia,NC_007440,5-Oct-2005,2005,1047,18293,Limnonectes fujianensis
Mammalia,NC_007441,5-Oct-2005,2005,1048,16498,Pantholops hodgsonii
Osteichthyes,NC_007439,5-Oct-2005,2005,1049,16535,Lates calcarifer
Mammalia,DQ188829,14-Oct-2005,2005,1050,16770,Mammuthus primigenius
Aves,AP008238,20-Oct-2005,2005,1051,17667,Nisaetus nipalensis
Aves,AP008239,20-Oct-2005,2005,1052,17977,Nisaetus alboniger
Mammalia,AY795975,8-Nov-2005,2005,1053,16642,Echymipera rufescens australis
Mammalia,AY795974,8-Nov-2005,2005,1054,17363,Sminthopsis crassicaudata
Mammalia,AY795973,8-Nov-2005,2005,1055,17159,Dasyurus hallucatus
Aves,NC_007599,9-Nov-2005,2005,1056,17977,Nisaetus alboniger
Aves,NC_007598,9-Nov-2005,2005,1057,17667,Nisaetus nipalensis
Mammalia,NC_007596,9-Nov-2005,2005,1058,16770,Mammuthus primigenius
Aves,AY463690,12-Nov-2005,2005,1059,16779,Cathartes aura
Mammalia,AY789529,15-Nov-2005,2005,1060,16392,Lipotes vexillifer
Mammalia,AY466499,29-Nov-2005,2005,1061,16300,Mus musculus
Squamata,AY282753,1-Dec-2005,2005,1062,16435,Gekko gecko
Aves,NC_007628,7-Dec-2005,2005,1063,16779,Cathartes aura
Mammalia,NC_007629,7-Dec-2005,2005,1064,16392,Lipotes vexillifer
Mammalia,NC_007632,7-Dec-2005,2005,1065,16642,Echymipera rufescens australis
Mammalia,NC_007631,7-Dec-2005,2005,1066,17363,Sminthopsis crassicaudata
Mammalia,NC_007630,7-Dec-2005,2005,1067,17159,Dasyurus hallucatus
Squamata,NC_007627,7-Dec-2005,2005,1068,16435,Gekko gecko
Amphibia,AY954506,9-Dec-2005,2005,1069,16202,Siphonops annulatus
Testudines,DQ080041,18-Dec-2005,2005,1070,19403,Stigmochelys pardalis
Testudines,DQ080040,18-Dec-2005,2005,1071,16455,Manouria emys
Testudines,DQ080049,18-Dec-2005,2005,1072,19278,Testudo graeca
Testudines,DQ080042,18-Dec-2005,2005,1073,19202,Malacochersus tornieri
Testudines,DQ080048,18-Dec-2005,2005,1074,17670,Testudo kleinmanni
Testudines,DQ080047,18-Dec-2005,2005,1075,19438,Testudo marginata
Testudines,DQ080045,18-Dec-2005,2005,1076,17093,Testudo horsfieldii
Testudines,DQ080044,18-Dec-2005,2005,1077,16952,Indotestudo forstenii
Testudines,DQ080043,18-Dec-2005,2005,1078,16788,Indotestudo elongata
Testudines,DQ080050,18-Dec-2005,2005,1079,17674,Testudo graeca
Aves,DQ083161,25-Dec-2005,2005,1080,16728,Cygnus columbianus
Mammalia,AB245426,27-Dec-2005,2005,1081,16362,Rangifer tarandus
Mammalia,AB245427,28-Dec-2005,2005,1082,16357,Cervus elaphus
Mammalia,AY574048,3-Jan-2006,2006,1083,16537,Sus scrofa
Mammalia,AY574047,3-Jan-2006,2006,1084,16651,Sus scrofa
Mammalia,AY574046,3-Jan-2006,2006,1085,16541,Sus scrofa
Mammalia,AY574045,3-Jan-2006,2006,1086,16552,Sus scrofa
Aves,NC_007691,6-Jan-2006,2006,1087,16728,Cygnus columbianus
Mammalia,NC_007704,6-Jan-2006,2006,1088,16357,Cervus elaphus
Mammalia,NC_007703,6-Jan-2006,2006,1089,16362,Rangifer tarandus
Testudines,NC_007693,6-Jan-2006,2006,1090,16455,Manouria emys
Testudines,NC_007692,6-Jan-2006,2006,1091,19278,Testudo graeca
Testudines,NC_007694,6-Jan-2006,2006,1092,19403,Stigmochelys pardalis
Testudines,NC_007700,6-Jan-2006,2006,1093,19202,Malacochersus tornieri
Testudines,NC_007696,6-Jan-2006,2006,1094,16952,Indotestudo forstenii
Testudines,NC_007698,6-Jan-2006,2006,1095,19438,Testudo marginata
Testudines,NC_007699,6-Jan-2006,2006,1096,17670,Testudo kleinmanni
Testudines,NC_007697,6-Jan-2006,2006,1097,17093,Testudo horsfieldii
Testudines,NC_007695,6-Jan-2006,2006,1098,16788,Indotestudo elongata
Aves,AB104902,7-Jan-2006,2006,1099,16732,Nipponia nippon
Osteichthyes,AP008948,7-Jan-2006,2006,1100,16199,Oryzias latipes
Osteichthyes,AP008947,7-Jan-2006,2006,1101,16948,Oryzias latipes
Osteichthyes,AP008946,7-Jan-2006,2006,1102,16217,Oryzias latipes
Osteichthyes,AP008945,7-Jan-2006,2006,1103,16472,Oryzias latipes
Osteichthyes,AP008944,7-Jan-2006,2006,1104,16198,Oryzias latipes
Osteichthyes,AP008943,7-Jan-2006,2006,1105,16437,Oryzias latipes
Osteichthyes,AP008942,7-Jan-2006,2006,1106,16767,Oryzias latipes
Osteichthyes,AP008941,7-Jan-2006,2006,1107,16480,Oryzias latipes
Osteichthyes,AP008940,7-Jan-2006,2006,1108,16744,Oryzias latipes
Osteichthyes,AP008939,7-Jan-2006,2006,1109,16745,Oryzias latipes
Osteichthyes,AP008938,7-Jan-2006,2006,1110,16714,Oryzias latipes
Osteichthyes,DQ347952,10-Jan-2006,2006,1111,16608,Hemibarbus longirostris
Osteichthyes,DQ347951,10-Jan-2006,2006,1112,16566,Coreoleuciscus splendidus
Osteichthyes,DQ345787,10-Jan-2006,2006,1113,16605,Hemibarbus mylodon
Osteichthyes,DQ347953,10-Jan-2006,2006,1114,16612,Hemibarbus labeo
Aves,AY542313,5-Feb-2006,2006,1115,17839,Menura novaehollandiae
Osteichthyes,AP006046,7-Feb-2006,2006,1116,16448,Tetraodon nigroviridis
Osteichthyes,AP006045,7-Feb-2006,2006,1117,16449,Takifugu rubripes
Osteichthyes,AP006047,7-Feb-2006,2006,1118,16478,Ranzania laevis
Mammalia,DQ316069,8-Feb-2006,2006,1119,16913,Loxodonta africana
Mammalia,DQ316067,8-Feb-2006,2006,1120,16842,Mammuthus primigenius
Mammalia,DQ316068,8-Feb-2006,2006,1121,16902,Elephas maximus
Osteichthyes,NC_007783,8-Feb-2006,2006,1122,16566,Coreoleuciscus splendidus
Osteichthyes,NC_007784,8-Feb-2006,2006,1123,16608,Hemibarbus longirostris
Osteichthyes,NC_007786,8-Feb-2006,2006,1124,16605,Hemibarbus mylodon
Osteichthyes,NC_007785,8-Feb-2006,2006,1125,16612,Hemibarbus labeo
Amphibia,AB212225,16-Feb-2006,2006,1126,22874,Mantella madagascariensis
Osteichthyes,DQ155662,1-Mar-2006,2006,1127,16817,Rhodeus uyekii
Mammalia,DQ390542,2-Mar-2006,2006,1128,16284,Cricetulus griseus
Amphibia,NC_007888,8-Mar-2006,2006,1129,22874,Mantella madagascariensis
Aves,DQ422742,8-Mar-2006,2006,1130,16853,Taeniopygia guttata
Aves,NC_007883,8-Mar-2006,2006,1131,17839,Menura novaehollandiae
Osteichthyes,NC_007885,8-Mar-2006,2006,1132,16817,Rhodeus uyekii
Osteichthyes,NC_007891,8-Mar-2006,2006,1133,16619,Parakneria cameronensis
Osteichthyes,NC_007882,8-Mar-2006,2006,1134,16428,Kneria sp. SL-2004
Osteichthyes,NC_007890,8-Mar-2006,2006,1135,16867,Grasseichthys gabonensis
Osteichthyes,NC_007889,8-Mar-2006,2006,1136,17156,Denticeps clupeoides
Osteichthyes,NC_007887,8-Mar-2006,2006,1137,16478,Ranzania laevis
Osteichthyes,NC_007892,8-Mar-2006,2006,1138,16511,Phractolaemus ansorgii
Aves,NC_007897,9-Mar-2006,2006,1139,16853,Taeniopygia guttata
Testudines,DQ256377,15-Mar-2006,2006,1140,19043,Platysternon megacephalum
Osteichthyes,AP006745,16-Mar-2006,2006,1141,16444,Sphoeroides pachygaster
Osteichthyes,AP006744,16-Mar-2006,2006,1142,16446,Canthigaster rivulata
Osteichthyes,AP006743,16-Mar-2006,2006,1143,16446,Canthigaster coronata
Osteichthyes,AP006742,16-Mar-2006,2006,1144,16474,Arothron firmamentum
Amphibia,NC_007911,17-Mar-2006,2006,1145,16202,Siphonops annulatus
Osteichthyes,AY986503,22-Mar-2006,2006,1146,16623,Myxocyprinus asiaticus
Mammalia,AB201256,23-Mar-2006,2006,1147,16404,Balaenoptera omurai
Mammalia,AB201258,23-Mar-2006,2006,1148,16409,Balaenoptera edeni
Mammalia,AB201259,23-Mar-2006,2006,1149,16411,Balaenoptera brydei
Mammalia,AB201257,23-Mar-2006,2006,1150,16404,Balaenoptera omurai
Osteichthyes,DQ403797,28-Mar-2006,2006,1151,17273,Verasper variegatus
Aves,DQ453515,1-Apr-2006,2006,1152,16853,Taeniopygia guttata
Aves,DQ453514,1-Apr-2006,2006,1153,16854,Taeniopygia guttata
Aves,DQ453513,1-Apr-2006,2006,1154,16854,Taeniopygia guttata
Aves,DQ453512,1-Apr-2006,2006,1155,16853,Taeniopygia guttata
Mammalia,DQ334861,1-Apr-2006,2006,1156,16690,Sus scrofa
Mammalia,DQ334860,1-Apr-2006,2006,1157,16691,Sus scrofa
Mammalia,NC_007936,6-Apr-2006,2006,1158,16284,Cricetulus griseus
Mammalia,NC_007937,6-Apr-2006,2006,1159,16404,Balaenoptera omurai
Mammalia,NC_007938,6-Apr-2006,2006,1160,16409,Balaenoptera edeni
Osteichthyes,NC_007939,6-Apr-2006,2006,1161,17273,Verasper variegatus
Mammalia,DQ466081,8-Apr-2006,2006,1162,16678,Sus scrofa
Aves,AY596278,10-Apr-2006,2006,1163,17171,Cnemotriccus fuscatus
Testudines,NC_007970,20-Apr-2006,2006,1164,19043,Platysternon megacephalum
Osteichthyes,DQ288271,30-Apr-2006,2006,1165,16656,Oncorhynchus mykiss
Osteichthyes,DQ288270,30-Apr-2006,2006,1166,16656,Oncorhynchus mykiss
Osteichthyes,DQ288269,30-Apr-2006,2006,1167,16656,Oncorhynchus mykiss
Osteichthyes,DQ288268,30-Apr-2006,2006,1168,16656,Oncorhynchus mykiss
Mammalia,AY999076,1-May-2006,2006,1169,16301,Mus musculus
Aves,NC_007979,3-May-2006,2006,1170,17777,Phaethon rubricauda
Aves,NC_007978,3-May-2006,2006,1171,16730,Synthliboramphus antiquus
Aves,NC_007975,3-May-2006,2006,1172,17171,Cnemotriccus fuscatus
Mammalia,AB241056,3-May-2006,2006,1173,16889,Lagorchestes hirsutus
Mammalia,AB241055,3-May-2006,2006,1174,16103,Petaurus breviceps
Mammalia,AB241054,3-May-2006,2006,1175,16058,Dactylopsila trivirgata
Mammalia,AB241053,3-May-2006,2006,1176,16357,Phascolarctos cinereus
Mammalia,AB241052,3-May-2006,2006,1177,16775,Distoechurus pennatus
Mammalia,DQ015676,6-May-2006,2006,1178,16283,Microtus levis
Amphibia,DQ333822,10-May-2006,2006,1179,16374,Paradactylodon persicus
Amphibia,DQ333821,10-May-2006,2006,1180,16383,Paradactylodon mustersi
Amphibia,DQ333820,10-May-2006,2006,1181,16456,Onychodactylus fischeri
Amphibia,DQ333819,10-May-2006,2006,1182,16408,Hynobius chinensis
Amphibia,DQ333818,10-May-2006,2006,1183,16394,Batrachuperus yenyuanensis
Amphibia,DQ333817,10-May-2006,2006,1184,16379,Batrachuperus tibetanus
Amphibia,DQ333816,10-May-2006,2006,1185,16394,Hynobius formosanus
Amphibia,DQ333815,10-May-2006,2006,1186,16390,Batrachuperus pinchonii
Amphibia,DQ333814,10-May-2006,2006,1187,16338,Salamandrella keyserlingii
Amphibia,DQ333813,10-May-2006,2006,1188,16380,Liua tsinpaensis
Amphibia,DQ333812,10-May-2006,2006,1189,16394,Pachyhynobius shangchengensis
Amphibia,DQ333811,10-May-2006,2006,1190,16428,Hynobius leechii
Amphibia,DQ333810,10-May-2006,2006,1191,16376,Liua shihi
Amphibia,DQ333809,10-May-2006,2006,1192,16379,Batrachuperus londongensis
Amphibia,DQ333808,10-May-2006,2006,1193,16401,Hynobius amjiensis
Mammalia,DQ518915,14-May-2006,2006,1194,16747,Sus scrofa
Mammalia,DQ480511,15-May-2006,2006,1195,16685,Canis latrans
Mammalia,DQ480510,15-May-2006,2006,1196,16721,Canis latrans
Mammalia,DQ480509,15-May-2006,2006,1197,16724,Canis latrans
Mammalia,DQ480508,15-May-2006,2006,1198,16730,Canis lupus
Mammalia,DQ480507,15-May-2006,2006,1199,16730,Canis lupus
Mammalia,DQ480506,15-May-2006,2006,1200,16729,Canis lupus
Mammalia,DQ480505,15-May-2006,2006,1201,16729,Canis lupus
Mammalia,DQ480504,15-May-2006,2006,1202,16710,Canis lupus
Mammalia,DQ480503,15-May-2006,2006,1203,16730,Canis lupus
Mammalia,DQ480502,15-May-2006,2006,1204,16729,Canis lupus familiaris
Mammalia,DQ480501,15-May-2006,2006,1205,16730,Canis lupus familiaris
Mammalia,DQ480500,15-May-2006,2006,1206,16730,Canis lupus familiaris
Mammalia,DQ480499,15-May-2006,2006,1207,16730,Canis lupus familiaris
Mammalia,DQ480498,15-May-2006,2006,1208,16732,Canis lupus familiaris
Mammalia,DQ480497,15-May-2006,2006,1209,16730,Canis lupus familiaris
Mammalia,DQ480496,15-May-2006,2006,1210,16729,Canis lupus familiaris
Mammalia,DQ480495,15-May-2006,2006,1211,16730,Canis lupus familiaris
Mammalia,DQ480494,15-May-2006,2006,1212,16730,Canis lupus familiaris
Mammalia,DQ480493,15-May-2006,2006,1213,16730,Canis lupus familiaris
Mammalia,DQ480492,15-May-2006,2006,1214,16729,Canis lupus familiaris
Mammalia,DQ480491,15-May-2006,2006,1215,16730,Canis lupus familiaris
Mammalia,DQ480490,15-May-2006,2006,1216,16731,Canis lupus familiaris
Mammalia,DQ480489,15-May-2006,2006,1217,16730,Canis lupus familiaris
Mammalia,DQ534707,17-May-2006,2006,1218,16728,Sus scrofa
Squamata,DQ008215,24-May-2006,2006,1219,16220,Xenagama taylori
Aves,DQ648776,31-May-2006,2006,1220,16783,Gallus gallus
Mammalia,DQ069713,1-Jun-2006,2006,1221,16550,Chlorocebus sabaeus
Amphibia,NC_008080,6-Jun-2006,2006,1222,16394,Pachyhynobius shangchengensis
Amphibia,NC_008082,6-Jun-2006,2006,1223,16338,Salamandrella keyserlingii
Amphibia,NC_008084,6-Jun-2006,2006,1224,16394,Hynobius formosanus
Amphibia,NC_008081,6-Jun-2006,2006,1225,16380,Liua tsinpaensis
Amphibia,NC_008076,6-Jun-2006,2006,1226,16401,Hynobius amjiensis
Amphibia,NC_008078,6-Jun-2006,2006,1227,16376,Liua shihi
Amphibia,NC_008083,6-Jun-2006,2006,1228,16390,Batrachuperus pinchonii
Amphibia,NC_008077,6-Jun-2006,2006,1229,16379,Batrachuperus londongensis
Amphibia,NC_008079,6-Jun-2006,2006,1230,16428,Hynobius leechii
Mammalia,NC_008064,6-Jun-2006,2006,1231,16283,Microtus levis
Mammalia,NC_008066,6-Jun-2006,2006,1232,16550,Chlorocebus sabaeus
Osteichthyes,DQ536432,6-Jun-2006,2006,1233,16627,Minytrema melanops
Osteichthyes,DQ536431,6-Jun-2006,2006,1234,16884,Phenacobius mirabilis
Osteichthyes,DQ536430,6-Jun-2006,2006,1235,16602,Percina macrolepida
Osteichthyes,DQ536429,6-Jun-2006,2006,1236,16711,Notropis stramineus
Osteichthyes,DQ536428,6-Jun-2006,2006,1237,16548,Scomberomorus cavalla
Osteichthyes,DQ536427,6-Jun-2006,2006,1238,16601,Iberochondrostoma lemmingii
Osteichthyes,DQ536426,6-Jun-2006,2006,1239,16704,Dorosoma cepedianum
Osteichthyes,DQ536425,6-Jun-2006,2006,1240,16484,Micropterus salmoides
Osteichthyes,DQ536424,6-Jun-2006,2006,1241,16595,Gila robusta
Osteichthyes,DQ536423,6-Jun-2006,2006,1242,16328,Lepisosteus osseus
Osteichthyes,DQ536422,6-Jun-2006,2006,1243,16545,Cyprinella spiloptera
Osteichthyes,DQ536421,6-Jun-2006,2006,1244,16654,Campostoma anomalum
Squamata,NC_008065,6-Jun-2006,2006,1245,16220,Xenagama taylori
Amphibia,NC_008091,7-Jun-2006,2006,1246,16374,Paradactylodon persicus
Amphibia,NC_008088,7-Jun-2006,2006,1247,16408,Hynobius chinensis
Amphibia,NC_008089,7-Jun-2006,2006,1248,16456,Onychodactylus fischeri
Amphibia,NC_008085,7-Jun-2006,2006,1249,16379,Batrachuperus tibetanus
Mammalia,NC_008093,7-Jun-2006,2006,1250,16724,Canis latrans
Mammalia,NC_008092,7-Jun-2006,2006,1251,16729,Canis lupus
Aves,AP009194,9-Jun-2006,2006,1252,16134,Podiceps cristatus
Aves,AP009190,9-Jun-2006,2006,1253,15574,Gavia pacifica
Aves,AP009189,9-Jun-2006,2006,1254,16930,Eudyptes chrysocome
Osteichthyes,NC_008107,9-Jun-2006,2006,1255,16704,Dorosoma cepedianum
Osteichthyes,NC_008111,9-Jun-2006,2006,1256,16602,Percina macrolepida
Osteichthyes,NC_008113,9-Jun-2006,2006,1257,16627,Minytrema melanops
Osteichthyes,NC_008108,9-Jun-2006,2006,1258,16601,Iberochondrostoma lemmingii
Osteichthyes,NC_008112,9-Jun-2006,2006,1259,16884,Phenacobius mirabilis
Osteichthyes,NC_008105,9-Jun-2006,2006,1260,16595,Gila robusta
Osteichthyes,NC_008102,9-Jun-2006,2006,1261,16654,Campostoma anomalum
Osteichthyes,NC_008104,9-Jun-2006,2006,1262,16328,Lepisosteus osseus
Osteichthyes,NC_008110,9-Jun-2006,2006,1263,16711,Notropis stramineus
Osteichthyes,NC_008106,9-Jun-2006,2006,1264,16484,Micropterus salmoides
Osteichthyes,NC_008109,9-Jun-2006,2006,1265,16548,Scomberomorus cavalla
Osteichthyes,NC_008103,9-Jun-2006,2006,1266,16545,Cyprinella spiloptera
Testudines,DQ656607,10-Jun-2006,2006,1267,16813,Indotestudo elongata
Amphibia,NC_008144,12-Jun-2006,2006,1268,17384,Pelobates cultripes
Aves,NC_008140,12-Jun-2006,2006,1269,16134,Podiceps cristatus
Aves,NC_008139,12-Jun-2006,2006,1270,15574,Gavia pacifica
Aves,NC_008138,12-Jun-2006,2006,1271,16930,Eudyptes chrysocome
Aves,NC_008132,12-Jun-2006,2006,1272,16732,Nipponia nippon
Crocodylia,NC_008143,12-Jun-2006,2006,1273,16916,Crocodylus porosus
Crocodylia,NC_008142,12-Jun-2006,2006,1274,16830,Crocodylus niloticus
Mammalia,NC_008134,12-Jun-2006,2006,1275,16058,Dactylopsila trivirgata
Mammalia,NC_008135,12-Jun-2006,2006,1276,16103,Petaurus breviceps
Mammalia,NC_008136,12-Jun-2006,2006,1277,16889,Lagorchestes hirsutus
Mammalia,NC_008133,12-Jun-2006,2006,1278,16357,Phascolarctos cinereus
Mammalia,NC_008145,12-Jun-2006,2006,1279,16775,Distoechurus pennatus
Osteichthyes,NC_008131,12-Jun-2006,2006,1280,16262,Atractosteus spatula
Osteichthyes,NC_008130,12-Jun-2006,2006,1281,17487,Aspasma minima
Osteichthyes,NC_008129,12-Jun-2006,2006,1282,15974,Aptocyclus ventricosus
Osteichthyes,NC_008128,12-Jun-2006,2006,1283,15980,Anomalops katoptron
Osteichthyes,NC_008126,12-Jun-2006,2006,1284,16120,Diretmoides veriginae
Osteichthyes,NC_008124,12-Jun-2006,2006,1285,16030,Bregmaceros nectabanus
Osteichthyes,NC_008123,12-Jun-2006,2006,1286,16090,Sirembo imberbis
Osteichthyes,NC_008127,12-Jun-2006,2006,1287,16070,Diretmus argenteus
Osteichthyes,NC_008125,12-Jun-2006,2006,1288,15879,Lophiomus setigerus
Mammalia,AY833419,13-Jun-2006,2006,1289,16510,Galemys pyrenaicus
Amphibia,NC_008090,14-Jun-2006,2006,1290,16383,Paradactylodon mustersi
Mammalia,NC_008156,16-Jun-2006,2006,1291,16510,Galemys pyrenaicus
Osteichthyes,AP008991,21-Jun-2006,2006,1292,17230,Ventrifossa garmani
Osteichthyes,AP008990,21-Jun-2006,2006,1293,16677,Trachyrincus murrayi
Osteichthyes,AP008989,21-Jun-2006,2006,1294,16550,Squalogadus modificatus
Osteichthyes,AP008988,21-Jun-2006,2006,1295,17596,Bathygadus antrodes
Mammalia,DQ355301,24-Jun-2006,2006,1296,16595,Piliocolobus badius
Mammalia,DQ355300,24-Jun-2006,2006,1297,16549,Rhinopithecus roxellana
Mammalia,DQ355299,24-Jun-2006,2006,1298,16543,Presbytis melalophos
Mammalia,DQ355298,24-Jun-2006,2006,1299,16570,Nasalis larvatus
Mammalia,DQ355297,24-Jun-2006,2006,1300,16532,Semnopithecus entellus
Mammalia,NC_008219,28-Jun-2006,2006,1301,16595,Piliocolobus badius
Mammalia,NC_008215,28-Jun-2006,2006,1302,16532,Semnopithecus entellus
Mammalia,NC_008217,28-Jun-2006,2006,1303,16543,Presbytis melalophos
Mammalia,NC_008218,28-Jun-2006,2006,1304,16549,Rhinopithecus roxellana
Mammalia,NC_008216,28-Jun-2006,2006,1305,16570,Nasalis larvatus
Osteichthyes,NC_008223,28-Jun-2006,2006,1306,16550,Squalogadus modificatus
Osteichthyes,NC_008224,28-Jun-2006,2006,1307,16677,Trachyrincus murrayi
Osteichthyes,NC_008225,28-Jun-2006,2006,1308,17230,Ventrifossa garmani
Osteichthyes,NC_008222,28-Jun-2006,2006,1309,17596,Bathygadus antrodes
Osteichthyes,DQ321752,1-Jul-2006,2006,1310,16531,Liobagrus obesus
Osteichthyes,NC_008232,4-Jul-2006,2006,1311,16531,Liobagrus obesus
Crocodylia,AB079596,5-Jul-2006,2006,1312,17185,Gavialis gangeticus
Crocodylia,NC_008241,14-Jul-2006,2006,1313,17185,Gavialis gangeticus
Osteichthyes,AY898626,17-Jul-2006,2006,1314,16539,Cranoglanis bouderius
Testudines,DQ016387,30-Jul-2006,2006,1315,19161,Platysternon megacephalum
Osteichthyes,NC_008280,8-Aug-2006,2006,1316,16539,Cranoglanis bouderius
Osteichthyes,AB250108,11-Aug-2006,2006,1317,16599,Biwia zezera
Osteichthyes,AB250107,11-Aug-2006,2006,1318,16599,Biwia zezera
Osteichthyes,AB270760,24-Aug-2006,2006,1319,16659,Solea senegalensis
Osteichthyes,NC_008327,6-Sep-2006,2006,1320,16659,Solea senegalensis
Osteichthyes,NC_008324,6-Sep-2006,2006,1321,16599,Biwia zezera
Squamata,NC_008328,6-Sep-2006,2006,1322,17156,Lacerta viridis viridis
Mammalia,DQ989636,19-Sep-2006,2006,1323,16505,Rusa unicolor swinhoei
Amphibia,DQ275350,27-Sep-2006,2006,1324,17277,Bufo gargarizans
Mammalia,DQ207753,30-Sep-2006,2006,1325,16511,Sus scrofa
Mammalia,DQ207754,30-Sep-2006,2006,1326,16539,Sus scrofa
Mammalia,DQ673917,30-Sep-2006,2006,1327,16307,Rattus norvegicus
Mammalia,DQ673916,30-Sep-2006,2006,1328,16311,Rattus norvegicus
Mammalia,DQ673915,30-Sep-2006,2006,1329,16310,Rattus norvegicus
Mammalia,DQ673914,30-Sep-2006,2006,1330,16309,Rattus norvegicus
Mammalia,DQ673913,30-Sep-2006,2006,1331,16314,Rattus norvegicus
Mammalia,DQ673912,30-Sep-2006,2006,1332,16312,Rattus norvegicus
Mammalia,DQ673911,30-Sep-2006,2006,1333,16314,Rattus norvegicus
Mammalia,DQ673910,30-Sep-2006,2006,1334,16310,Rattus norvegicus
Mammalia,DQ673909,30-Sep-2006,2006,1335,16309,Rattus norvegicus
Mammalia,DQ673908,30-Sep-2006,2006,1336,16309,Rattus norvegicus
Mammalia,DQ673907,30-Sep-2006,2006,1337,16315,Rattus norvegicus
Mammalia,DQ207755,30-Sep-2006,2006,1338,16629,Sus scrofa
Osteichthyes,DQ356938,30-Sep-2006,2006,1339,15511,Gadus macrocephalus
Osteichthyes,DQ356946,30-Sep-2006,2006,1340,15502,Gadus chalcogrammus
Osteichthyes,DQ356945,30-Sep-2006,2006,1341,15512,Pollachius virens
Osteichthyes,DQ356944,30-Sep-2006,2006,1342,15511,Microgadus proximus
Osteichthyes,DQ356943,30-Sep-2006,2006,1343,15511,Merlangius merlangus
Osteichthyes,DQ356942,30-Sep-2006,2006,1344,15511,Melanogrammus aeglefinus
Osteichthyes,DQ356941,30-Sep-2006,2006,1345,15564,Gadus ogac
Osteichthyes,DQ356940,30-Sep-2006,2006,1346,15504,Gadus ogac
Osteichthyes,DQ356937,30-Sep-2006,2006,1347,15511,Gadus macrocephalus
Osteichthyes,DQ356936,30-Sep-2006,2006,1348,15564,Boreogadus saida
Osteichthyes,DQ101270,30-Sep-2006,2006,1349,16714,Plectropomus leopardus
Mammalia,DQ257669,1-Oct-2006,2006,1350,16844,Neofelis nebulosa
Amphibia,NC_008410,3-Oct-2006,2006,1351,17277,Bufo gargarizans
Mammalia,NC_008415,3-Oct-2006,2006,1352,16668,Callorhinus ursinus
Mammalia,NC_008414,3-Oct-2006,2006,1353,16505,Rusa unicolor swinhoei
Mammalia,NC_008431,3-Oct-2006,2006,1354,16737,Pusa caspica
Mammalia,NC_008419,3-Oct-2006,2006,1355,16736,Neophoca cinerea
Mammalia,NC_008420,3-Oct-2006,2006,1356,16571,Arctocephalus townsendi
Mammalia,NC_008423,3-Oct-2006,2006,1357,16759,Lobodon carcinophaga
Mammalia,NC_008426,3-Oct-2006,2006,1358,16705,Erignathus barbatus
Mammalia,NC_008427,3-Oct-2006,2006,1359,16952,Cystophora cristata
Mammalia,NC_008430,3-Oct-2006,2006,1360,16701,Phoca largha
Mammalia,NC_008429,3-Oct-2006,2006,1361,16551,Phoca groenlandica
Mammalia,NC_008428,3-Oct-2006,2006,1362,16694,Phoca fasciata
Mammalia,NC_008417,3-Oct-2006,2006,1363,16652,Arctocephalus pusillus
Mammalia,NC_008418,3-Oct-2006,2006,1364,16722,Phocarctos hookeri
Mammalia,NC_008421,3-Oct-2006,2006,1365,16754,Neomonachus schauinslandi
Mammalia,NC_008425,3-Oct-2006,2006,1366,16602,Hydrurga leptonyx
Mammalia,NC_008432,3-Oct-2006,2006,1367,16773,Pusa sibirica
Mammalia,NC_008433,3-Oct-2006,2006,1368,16754,Pusa hispida
Mammalia,NC_008422,3-Oct-2006,2006,1369,16970,Mirounga leonina
Mammalia,NC_008424,3-Oct-2006,2006,1370,16603,Leptonychotes weddellii
Mammalia,NC_008416,3-Oct-2006,2006,1371,16677,Zalophus californianus
Mammalia,NC_008434,3-Oct-2006,2006,1372,16813,Vulpes vulpes
Osteichthyes,AP006853,3-Oct-2006,2006,1373,19017,Galaxiella nigrostriata
Mammalia,NC_008450,5-Oct-2006,2006,1374,16844,Neofelis nebulosa
Mammalia,NC_008447,5-Oct-2006,2006,1375,16866,Lagostrophus fasciatus
Osteichthyes,NC_008449,5-Oct-2006,2006,1376,16714,Plectropomus leopardus
Osteichthyes,NC_008448,5-Oct-2006,2006,1377,19017,Galaxiella nigrostriata
Osteichthyes,NC_008455,5-Oct-2006,2006,1378,16527,Thunnus orientalis
Osteichthyes,EF025506,8-Oct-2006,2006,1379,17588,Verasper moseri
Mammalia,DQ985076,10-Oct-2006,2006,1380,16436,Cervus nippon taiouanus
Mammalia,NC_008462,11-Oct-2006,2006,1381,16436,Cervus nippon taiouanus
Osteichthyes,NC_008461,11-Oct-2006,2006,1382,17588,Verasper moseri
Mammalia,EF035447,15-Oct-2006,2006,1383,16353,Muntiacus reevesi micrurus
Mammalia,NC_008491,17-Oct-2006,2006,1384,16353,Muntiacus reevesi micrurus
Aves,DQ780878,25-Oct-2006,2006,1385,17511,Ardea novaehollandiae
Aves,DQ780884,25-Oct-2006,2006,1386,17864,Pandion haliaetus
Aves,DQ780883,25-Oct-2006,2006,1387,16846,Pelecanus conspicillatus
Aves,DQ780882,25-Oct-2006,2006,1388,18736,Pteroglossus azara flavirostris
Aves,DQ780881,25-Oct-2006,2006,1389,17344,Micrastur gilvicollis
